member_id,dept_id,closure_start,novelty_pre_mean,novelty_pre_selected_for_heterogeneity,novelty_pre_high,novelty_pre_group,novelty_pre_split_rule,novelty_pre_threshold_low,novelty_pre_threshold_high
97759,46,2021-08-04,0.6666666666666666,1,1,high,median_full_sample,0.5,0.5
98095,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
98166,46,2021-08-04,0.7083333333333333,1,1,high,median_full_sample,0.5,0.5
98766,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
98924,46,2021-08-04,0.3333333333333333,1,0,baseline,median_full_sample,0.5,0.5
99827,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
100126,46,2021-08-04,0.6541666666666667,1,1,high,median_full_sample,0.5,0.5
100184,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
101170,46,2021-08-04,0.6666666666666666,1,1,high,median_full_sample,0.5,0.5
101430,46,2021-08-04,0.3333333333333333,1,0,baseline,median_full_sample,0.5,0.5
101662,46,2021-08-04,0.8333333333333334,1,1,high,median_full_sample,0.5,0.5
102448,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
102565,46,2021-08-04,0.9166666666666666,1,1,high,median_full_sample,0.5,0.5
102854,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
103022,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
103238,46,2021-08-04,0.75,1,1,high,median_full_sample,0.5,0.5
103355,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
103403,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
103489,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
105901,46,2021-08-04,0.675,1,1,high,median_full_sample,0.5,0.5
106109,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
106150,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
106227,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
106984,46,2021-08-04,0.3333333333333333,1,0,baseline,median_full_sample,0.5,0.5
107019,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
107160,46,2021-08-04,0.6666666666666666,1,1,high,median_full_sample,0.5,0.5
110424,46,2021-08-04,0.16666666666666666,1,0,baseline,median_full_sample,0.5,0.5
111649,46,2021-08-04,0.95,1,1,high,median_full_sample,0.5,0.5
112211,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
113363,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
114303,46,2021-08-04,0.5833333333333333,1,1,high,median_full_sample,0.5,0.5
114333,46,2021-08-04,0.3333333333333333,1,0,baseline,median_full_sample,0.5,0.5
115824,46,2021-08-04,0.3333333333333333,1,0,baseline,median_full_sample,0.5,0.5
116198,46,2021-08-04,0.2222222222222222,1,0,baseline,median_full_sample,0.5,0.5
116273,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
116968,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
117886,46,2021-08-04,0.3,1,0,baseline,median_full_sample,0.5,0.5
