avg_order_value,total_spend,n_orders,avg_basket_size,unique_stores,coupon_usage_rate,avg_discount,weeks_active,order_per_week,push_group,active_period_num,avg_days_from_push,same_day_wakeup,used_deeper_discount,member_id,period_type
59.8,299.0,5,2.2,3,0.4,0.33999999999999997,7.285714285714286,0.6862745098039216,0,1,0.0,0,0,,active
28.0,56.0,2,1.0,1,1.0,0.25,1.7142857142857142,1.1666666666666667,0,1,0.0,0,0,,active
39.25,157.0,4,1.25,1,0.75,0.25,5.0,0.8,0,1,0.0,0,0,,active
65.0,65.0,1,2.0,1,1.0,0.2,1.0,1.0,0,1,0.0,0,0,,active
55.857142857142854,1564.0,28,1.8928571428571428,1,0.21428571428571427,0.24285714285714285,24.571428571428573,1.1395348837209303,0,1,0.0,0,0,,active
28.0,28.0,1,1.0,1,1.0,0.2,1.0,1.0,0,1,0.0,0,0,,active
36.23529411764706,616.0,17,1.2941176470588236,8,1.0,0.2529411764705882,17.0,1.0,0,1,0.0,0,0,,active
56.18181818181818,618.0,11,1.9090909090909092,5,0.2727272727272727,0.36363636363636365,10.857142857142858,1.013157894736842,0,1,0.0,0,0,,active
31.0,31.0,1,1.0,1,1.0,0.25,1.0,1.0,0,1,0.0,0,0,,active
33.333333333333336,100.0,3,1.3333333333333333,3,1.0,0.18333333333333335,1.4285714285714286,2.1,0,1,0.0,0,0,,active
23.0,69.0,3,1.0,1,1.0,0.18333333333333335,1.0,3.0,0,1,0.0,0,0,,active
73.0,146.0,2,2.5,2,1.0,0.25,1.0,2.0,0,1,0.0,0,0,,active
58.0,58.0,1,2.0,1,0.0,0.3,1.0,1.0,0,1,0.0,0,0,,active
32.0,32.0,1,1.0,1,0.0,0.15,1.0,1.0,0,1,0.0,0,0,,active
29.0,87.0,3,1.0,2,0.6666666666666666,0.25,1.0,3.0,0,1,0.0,0,0,,active
32.0,32.0,1,1.0,1,0.0,0.3,1.0,1.0,0,1,0.0,0,0,,active
