member_id,total_pushes,avg_push_discount,dormant_length,push_group,dormant_period_num,period_type
381268,65,,282,0,3,dormant
443388,2,,7,0,3,dormant
448300,2,,1,0,3,dormant
454165,2,,3,0,3,dormant
488595,14,,42,0,3,dormant
509879,1,,1,0,3,dormant
514568,7,,17,0,3,dormant
536190,5,,8,0,3,dormant
549996,15,,50,0,3,dormant
576332,42,,107,0,3,dormant
583656,43,,96,0,3,dormant
594551,25,,64,0,3,dormant
610990,34,,143,0,3,dormant
632534,4,,10,0,3,dormant
655050,71,,188,0,3,dormant
674677,1,,1,0,3,dormant
677416,19,,46,0,3,dormant
683263,24,,52,0,3,dormant
701826,66,,203,0,3,dormant
703813,54,,173,0,3,dormant
709374,5,,9,0,3,dormant
715540,67,,157,0,3,dormant
731093,24,,59,0,3,dormant
732185,61,,157,0,3,dormant
733693,10,,75,0,3,dormant
747527,33,,80,0,3,dormant
756516,39,,98,0,3,dormant
760295,6,,6,0,3,dormant
765001,10,,35,0,3,dormant
771633,18,,94,0,3,dormant
775109,43,,142,0,3,dormant
777377,53,,232,0,3,dormant
22147,32,,117,0,4,dormant
39126,2,,8,0,4,dormant
59448,25,,163,0,4,dormant
108479,14,,73,0,4,dormant
146423,46,,109,0,4,dormant
151092,15,,44,0,4,dormant
151482,5,,9,0,4,dormant
185417,3,,5,0,4,dormant
187335,3,,5,0,4,dormant
194265,9,,96,0,4,dormant
249634,24,,100,0,4,dormant
264715,3,,2,0,4,dormant
270470,48,,128,0,4,dormant
289774,2,,2,0,4,dormant
308293,5,,5,0,4,dormant
316499,59,,198,0,4,dormant
319181,9,,38,0,4,dormant
330815,8,,9,0,4,dormant
364592,20,,62,0,4,dormant
380657,17,,32,0,4,dormant
443388,9,,23,0,4,dormant
448300,4,,15,0,4,dormant
454165,10,,19,0,4,dormant
488595,1,,1,0,4,dormant
509879,8,,24,0,4,dormant
514568,7,,13,0,4,dormant
536190,2,,1,0,4,dormant
549996,8,,33,0,4,dormant
632534,6,,17,0,4,dormant
655050,1,,1,0,4,dormant
674677,3,,2,0,4,dormant
703813,20,,39,0,4,dormant
709374,7,,11,0,4,dormant
731093,3,,4,0,4,dormant
732185,13,,27,0,4,dormant
733693,1,,1,0,4,dormant
765001,4,,8,0,4,dormant
771633,3,,8,0,4,dormant
39126,16,,42,0,5,dormant
108479,53,,217,0,5,dormant
151092,8,,18,0,5,dormant
151482,2,,1,0,5,dormant
185417,7,,10,0,5,dormant
249634,6,,17,0,5,dormant
264715,8,,18,0,5,dormant
270470,11,,11,0,5,dormant
308293,42,,98,0,5,dormant
316499,9,,13,0,5,dormant
319181,1,,1,0,5,dormant
364592,66,,198,0,5,dormant
380657,33,,81,0,5,dormant
443388,9,,22,0,5,dormant
488595,14,,58,0,5,dormant
509879,7,,20,0,5,dormant
514568,4,,8,0,5,dormant
536190,6,,9,0,5,dormant
549996,10,,24,0,5,dormant
632534,13,,37,0,5,dormant
655050,32,,107,0,5,dormant
674677,1,,1,0,5,dormant
731093,11,,13,0,5,dormant
765001,15,,56,0,5,dormant
771633,33,,118,0,5,dormant
39126,22,,88,0,6,dormant
108479,13,,54,0,6,dormant
151092,17,,59,0,6,dormant
151482,29,,107,0,6,dormant
308293,6,,9,0,6,dormant
488595,14,,52,0,6,dormant
536190,3,,6,0,6,dormant
549996,4,,9,0,6,dormant
674677,17,,57,0,6,dormant
765001,14,,35,0,6,dormant
39126,6,,9,0,7,dormant
536190,5,,5,0,7,dormant
549996,1,,1,0,7,dormant
155,19,,55,1,1,dormant
167,57,,136,1,1,dormant
1117,3,,7,1,1,dormant
1854,19,,46,1,1,dormant
1931,34,,84,1,1,dormant
2900,115,,391,1,1,dormant
3469,22,,151,1,1,dormant
3790,4,,9,1,1,dormant
3982,10,,24,1,1,dormant
6211,104,,340,1,1,dormant
6386,34,,112,1,1,dormant
6652,3,,8,1,1,dormant
7460,52,,193,1,1,dormant
9119,3,,8,1,1,dormant
9626,122,,308,1,1,dormant
9645,52,,141,1,1,dormant
10359,78,,360,1,1,dormant
10698,25,,55,1,1,dormant
11150,124,,436,1,1,dormant
11415,13,,38,1,1,dormant
11830,64,,271,1,1,dormant
12634,39,,105,1,1,dormant
14488,43,,134,1,1,dormant
14551,16,,44,1,1,dormant
16714,4,,4,1,1,dormant
17829,162,,529,1,1,dormant
19630,17,,36,1,1,dormant
19781,104,,386,1,1,dormant
20784,13,,86,1,1,dormant
21105,2,,2,1,1,dormant
21325,62,,156,1,1,dormant
21802,12,,81,1,1,dormant
23247,28,,54,1,1,dormant
23815,109,,313,1,1,dormant
24099,1,,1,1,1,dormant
24317,98,,420,1,1,dormant
25002,156,,422,1,1,dormant
25030,119,,431,1,1,dormant
26154,5,,4,1,1,dormant
26342,81,,329,1,1,dormant
27774,108,,329,1,1,dormant
28035,4,,15,1,1,dormant
28203,49,,198,1,1,dormant
31358,3,,8,1,1,dormant
31774,98,,304,1,1,dormant
32072,28,,88,1,1,dormant
32268,6,,16,1,1,dormant
34690,2,,2,1,1,dormant
35874,19,,56,1,1,dormant
37666,121,,348,1,1,dormant
37715,29,,113,1,1,dormant
38102,148,,522,1,1,dormant
38237,114,,382,1,1,dormant
38918,77,,244,1,1,dormant
39121,11,,29,1,1,dormant
40721,118,,342,1,1,dormant
41246,120,,441,1,1,dormant
41976,90,,420,1,1,dormant
42535,12,,32,1,1,dormant
42868,32,,111,1,1,dormant
45199,40,,160,1,1,dormant
46552,10,,27,1,1,dormant
48841,5,,11,1,1,dormant
49289,122,,397,1,1,dormant
49341,95,,403,1,1,dormant
49549,18,,88,1,1,dormant
