dept_id,closure_start,closure_end,closure_duration_days,window_days,#treatment,#control,treatment_purchase_rate_during,control_purchase_rate_during,selectivity_ratio,latitude,longitude,address
225,2021-02-09,2021-02-18,10,28,644,32505,0.015527950310559006,0.14216274419320105,0.10922657971104101,32.04439517466815,118.64925227755336,浦口区华创路南京软件园腾飞大厦4号楼一层103号
181,2021-02-11,2021-02-25,15,28,117,32612,0.042735042735042736,0.28618300012265424,0.14932767745368195,32.099473020287284,118.92293596303962,栖霞区仙林街道学衡路5号水平方美食广场二层S-29商铺
21,2021-04-09,2021-04-19,11,28,310,37226,0.09032258064516129,0.2864664481813786,0.31529898603683176,32.006744049751106,118.7338200158904,建邺区江东中路305号中泰国际大厦一层1-60、61号
8,2021-05-27,2021-06-10,15,28,347,42650,0.040345821325648415,0.3554982415005862,0.11349091673518696,32.05444453058177,118.93409345645684,江宁区麒麟街道悦民路128号天赋广场22幢116室
89,2021-06-23,2021-10-07,107,28,1098,46618,0.04644808743169399,0.599038997812004,0.07753766883516115,32.13227286342762,118.94076400368228,栖霞区文澜路89号南京理工大学紫金学院五食堂一层
90,2021-06-26,2021-10-10,107,28,892,47184,0.053811659192825115,0.5956256358087487,0.09034476684294977,32.1804263792797,118.71550015298102,浦口区学府路8号南京大学金陵学院第一学生餐厅三层教工食堂
166,2021-06-29,2021-10-07,101,28,593,47512,0.06070826306913996,0.5838945950496717,0.10397127081468452,32.05198131995538,118.8944056003816,栖霞区马群街道马群街169号二层E1E2号
162,2021-06-29,2021-10-09,103,28,1219,47512,0.03773584905660377,0.5873253072907897,0.06425033722907574,32.09816208518045,118.66287112806792,浦口区佛寺三宫48号江苏警官学院训练中心一层
141,2021-06-30,2021-10-07,100,28,912,47695,0.05482456140350877,0.580836565677744,0.09438896351082376,,,
172,2021-07-01,2021-09-24,86,28,1266,47872,0.035545023696682464,0.5573612967914439,0.06377375663022199,32.21228598545819,118.72652074463852,浦口区宁六路219号南京信息工程大学东苑食堂三层
57,2021-07-01,2021-07-14,14,28,958,47872,0.1419624217118998,0.31442179144385024,0.4515031259760874,31.98974881055588,118.74154355683464,建邺区白龙江东街22号艺树家工场一层大堂
198,2021-07-03,2021-10-07,97,28,458,48247,0.07205240174672489,0.5715795800775177,0.1260583902191767,31.89902899116753,118.9082108492895,江宁区弘景大道3601号晓庄学院方山校区大学生服务中心二层
100,2021-07-03,2021-09-07,67,28,2353,48247,0.07692307692307693,0.5131925301054988,0.14989126382502796,32.12025541386233,118.96053400117644,栖霞区仙林大道163号南京大学仙林校区诚园5幢底商
93,2021-07-03,2021-10-08,98,28,830,48247,0.04096385542168675,0.5733828010031712,0.07144242092720215,32.12675700212732,118.94568599923257,栖霞区仙林大学城羊山北路1号南京工业职业技术学院五号食堂二层
163,2021-07-03,2021-09-21,81,28,2624,48247,0.03429878048780488,0.5441167326465894,0.06303570250628988,31.928509009302022,118.88784374812288,江宁区弘景大道1号工程学院生活服务中心一层
199,2021-07-03,2021-09-07,67,28,10,48247,0.0,0.5131925301054988,0.0,32.15188177310466,118.94824877502198,栖霞区栖霞大道163号南京大学仙林校区四组团门面房南京大学小移人家营业厅一层
148,2021-07-03,2021-10-10,100,28,494,48247,0.06275303643724696,0.5766161626629634,0.10882982562860727,32.240742982713336,118.75814882401714,葛关路625号南京科技职业学院第一食堂二层
111,2021-07-04,2021-10-08,97,28,2233,48343,0.04657411553963278,0.5713960656144633,0.08150933886733763,31.89171411801545,118.89763824258982,江宁区弘景大道3666号中国传媒大学南广学院三食堂一层中超华城超市
146,2021-07-06,2021-10-03,90,28,2072,48583,0.05019305019305019,0.5595990367000803,0.08969466868462711,32.118202107101666,118.93818416008818,栖霞区文苑路9号南京邮电大学仙林校区图书馆一层G01室
170,2021-07-06,2021-08-17,43,28,1775,48583,0.044507042253521124,0.44274746310437807,0.10052466916795987,31.889269794719745,118.81960828192386,江宁区东南大学路2号东南大学九龙湖校区橘园餐厅一层
179,2021-07-07,2021-10-07,93,28,836,48758,0.029904306220095694,0.5622872144058411,0.05318332954039342,31.91817538805172,118.9228358918058,江宁区江宁大学城龙眠大道629号交通职业技术学院第一食堂一层
187,2021-07-08,2021-10-11,96,28,1120,48908,0.03214285714285714,0.5657356669665494,0.05681603444804138,31.96380239227237,118.7598607248275,雨花台区铁心桥街道龙西路310号三江学院主校区5号食堂二层
192,2021-07-08,2021-08-31,55,28,308,48908,0.032467532467532464,0.47356260734440175,0.06856016916031595,32.11209015283739,118.9195002139556,栖霞区文苑路1号南京师范大学仙林校区北区学生餐厅三层
183,2021-07-09,2021-09-23,77,28,2176,49021,0.046875,0.5302625405438486,0.08839960663999384,31.90772304149415,118.92223088304485,江宁区淳化街道中国药科大学江宁校区图书馆二层
191,2021-07-10,2021-09-15,68,28,892,49208,0.0257847533632287,0.5080474719557796,0.05075264573991031,31.838273429148256,118.59499157051198,江宁区南京医科大学江宁校区青教公寓南侧一层
186,2021-07-10,2021-10-06,89,28,700,49208,0.06,0.5514956917574378,0.10879504753482201,31.924348379627663,118.91368727900054,江宁区淳化街道江苏海事职业技术学院念稼餐厅二层
159,2021-07-10,2021-09-05,58,28,1973,49208,0.03801317790167258,0.47904812225654364,0.07935148085460078,32.11107232016998,118.92144576402912,栖霞区笃学路南京师范大学仙林校区西区大众书店二层
144,2021-07-10,2021-09-22,75,28,2357,49208,0.027153160797624098,0.5239391968785563,0.05182502274957283,32.1147999846995,118.93058970564572,栖霞区文苑路3号南京财经大学仙林校区图书馆一层
154,2021-07-10,2021-09-26,79,28,794,49208,0.03526448362720403,0.533226304665908,0.06613417852538038,,,
164,2021-07-10,2021-09-26,79,28,1362,49208,0.04698972099853157,0.533226304665908,0.08812341136841119,31.904467592401147,118.90545898019025,江宁区弘景大道99号金陵科技学院北区第一食堂二层
171,2021-07-10,2021-09-22,75,28,1225,49208,0.029387755102040815,0.5239391968785563,0.05609001059115758,32.093733992419935,118.92329995643226,栖霞区仙林大学城仙林大道100号南京审计大学金审学院学生第四食堂一层
185,2021-07-12,2021-10-25,106,28,1608,49415,0.09950248756218906,0.5823535363755945,0.17086268279826153,31.923603575827148,118.7948822431006,江宁区佛城东路8号河海大学江宁校区生活组团二三期食堂四层
19,2021-07-15,2021-07-25,11,28,728,49925,0.04807692307692308,0.2444867300951427,0.1966443048185634,,,
124,2021-07-22,2021-08-18,28,28,1515,50976,0.07722772277227723,0.32328939108600124,0.23888109199269442,32.062502996213254,118.78957855753914,鼓楼区中山路321号南京鼓楼医院新大楼急诊部三层CD区
238,2021-07-24,2021-08-21,29,28,954,51316,0.0429769392033543,0.3221802166965469,0.13339409739063263,31.874597726297733,118.83411780235156,江宁区秣周东路12号悠谷1期3号楼协同大楼未来网络小镇一层大堂
44,2021-07-24,2021-08-05,13,28,406,51316,0.05665024630541872,0.19377971782679865,0.2923435276959842,32.09675064649749,118.89754490864732,玄武区湖景路9号苏宁青创园D栋一层大堂
39,2021-07-25,2021-08-19,26,28,282,51402,0.07092198581560284,0.30570794910703863,0.23199261263164167,32.02198047792086,118.77645341573286,秦淮区凤游寺52号悦动新门西体育文化产业园15号楼一层106号
147,2021-07-27,2021-09-12,48,28,462,51506,0.09523809523809523,0.43383295150079604,0.21952711270231967,32.06664934612214,118.74528212470608,鼓楼区江东街道江东北路319号华彩荟南京店一层
246,2021-07-27,2021-08-08,13,28,103,51506,0.009708737864077669,0.19529763522696386,0.049712521366655174,31.72205029718557,118.9863601049272,溧水区经济开发区创业路89号
133,2021-07-28,2021-08-22,26,28,264,51577,0.022727272727272728,0.30963413924811445,0.07340040985939547,31.834399119751986,118.77957718331324,江宁区东吉大道1号13号楼一层
110,2021-07-28,2021-09-05,40,28,494,51577,0.08704453441295547,0.39938344610970006,0.21794727663561358,31.84522197244716,118.78465701114165,江宁区正方中路888号浩鲸科技综合楼一层
160,2021-07-28,2021-08-31,35,28,487,51577,0.055441478439425054,0.37340287337379063,0.14847630372658113,31.945351238389,118.75083212563835,雨花台区英才路2号菁英体育中心一层大堂
68,2021-07-29,2021-08-23,26,28,201,51665,0.10945273631840796,0.31549404819510307,0.3469248847785612,32.051475127425455,118.76833965087508,鼓楼区虎踞路51号中国移动营业一层大堂
64,2021-07-29,2021-08-22,25,28,300,51665,0.10666666666666667,0.3059324494338527,0.34866084609220127,,,
47,2021-07-30,2021-08-10,12,28,234,51765,0.05555555555555555,0.196928426543031,0.28211039173369956,32.0550423626287,118.79413116986372,玄武区大钟亭路6号电信营业厅一层大堂
75,2021-07-31,2021-09-12,44,28,335,51862,0.22686567164179106,0.4258802205853997,0.5326983050068623,31.9902365132606,118.77019267548108,雨花台区安德门大街21号江苏科技金融大厦一层
197,2021-08-03,2021-08-19,17,28,55,52090,0.03636363636363636,0.2615281244000768,0.13904292873682875,31.933377175850584,118.83080655841124,江宁区双龙大道1539号21世纪太阳城购物中心负一层
