outcome,closure_event_id,dept_id,closure_start,closure_end,closure_duration_days,members,treated_members,control_members,binary_coef,binary_se,binary_pvalue,binary_n,score_coef,score_se,score_pvalue,score_n
variety_seeking_unbalanced,dept_47_closure_2021-07-30,47,2021-07-30,2021-08-10,12,3384,220,3164,-0.0473376869107487,0.0966569981963047,0.6243743181572019,7031,-0.1614000430196205,0.1801995377957074,0.3705531773502231,7031
variety_seeking_unbalanced,dept_59_closure_2021-08-03,59,2021-08-03,2021-08-19,17,3186,403,2783,-0.0301660511693251,0.0589706038272253,0.6090278683629555,8706,-0.0176811392097449,0.0983809236258606,0.8573900048202145,8706
variety_seeking_unbalanced,dept_121_closure_2021-08-03,121,2021-08-03,2021-08-20,18,2218,411,1807,-0.1781925123591506,0.0596204449267313,0.0028537546185356,5249,-0.1808699950458198,0.0908626014374439,0.0467362703732057,5249
variety_seeking_unbalanced,dept_182_closure_2021-08-03,182,2021-08-03,2021-08-20,18,1577,208,1369,-0.203348831488732,0.0710415871880798,0.0043013512198766,3646,-0.274386767456998,0.1234787171371901,0.0265199912854294,3646
variety_seeking_unbalanced,dept_220_closure_2021-08-03,220,2021-08-03,2021-08-12,10,1834,590,1244,0.0820710643407538,0.067914850588621,0.2272353412063659,3044,0.1318820398196953,0.104957176983264,0.2092904264152473,3044
variety_seeking_unbalanced,dept_46_closure_2021-08-04,46,2021-08-04,2021-08-19,16,2720,304,2416,0.0442297989903841,0.0708008926955253,0.5322509431903804,6931,0.0756952108506843,0.1070008296125697,0.479402668974997,6931
variety_seeking_unbalanced,dept_62_closure_2021-08-04,62,2021-08-04,2021-08-17,14,2644,224,2420,0.0058941000586053,0.0857623813749384,0.9452170871149596,5800,-0.0450980695312408,0.1528512059271937,0.7680005993813115,5800
variety_seeking_unbalanced,dept_3_closure_2021-08-09,3,2021-08-09,2021-08-22,14,1486,687,799,0.1150965967823743,0.0587812708787173,0.0505472595212714,3441,0.1853418373554883,0.1000822598797517,0.0643834572834034,3441
variety_seeking_unbalanced,dept_5_closure_2021-08-18,5,2021-08-18,2021-08-31,14,2439,426,2013,0.0415254616828572,0.1320985545824018,0.7533068349423178,4812,0.2263710541176276,0.2463670822127407,0.358360979510488,4812
variety_seeking_unbalanced,dept_131_closure_2021-08-29,131,2021-08-29,2021-09-08,11,2713,401,2312,-0.0749910914237558,0.0625691869606028,0.2309495074118139,4629,-0.1316086133166802,0.1015911213911019,0.1954085741610991,4629
