treatment_dept_id,closure_start,closure_end,closure_duration_days,closure_event_id,control_dept_id,pre_start,pre_end,during_start,during_end,n_products_pre,n_products_during,n_introduced_during,introduced_product_ids,introduced_product_names
238,2021-07-24,2021-08-21,29,dept_238_closure_2021-07-24,50,2021-06-25,2021-07-23,2021-07-24,2021-08-21,86,91,19,22|69|90|93|130|132|135|142|164|177|181|193|195|217|242|244|251|259|260,冰萃咖啡_1|工夫厚乳|拿铁_18|拿铁_21|满杯葡萄_0|满杯车厘子|澳瑞白_2|燕麦拿铁_2|瑞纳冰_15|瑞纳冰_5|瑞纳冰_9|生椰拿铁_6|生椰胶原冻_0|胶原酸奶冻_2|荔枝_0|葡萄很好喝_0|车厘子很好喝|鸳鸯拿铁_1|鸳鸯拿铁_2
238,2021-07-24,2021-08-21,29,dept_238_closure_2021-07-24,232,2021-06-25,2021-07-23,2021-07-24,2021-08-21,96,91,12,22|90|130|132|164|177|181|193|217|244|251|260,冰萃咖啡_1|拿铁_18|满杯葡萄_0|满杯车厘子|瑞纳冰_15|瑞纳冰_5|瑞纳冰_9|生椰拿铁_6|胶原酸奶冻_2|葡萄很好喝_0|车厘子很好喝|鸳鸯拿铁_2
39,2021-07-25,2021-08-19,26,dept_39_closure_2021-07-25,69,2021-06-29,2021-07-24,2021-07-25,2021-08-19,93,91,14,22|79|90|130|132|164|177|181|193|217|236|244|251|260,冰萃咖啡_1|抹茶慕斯拿铁|拿铁_18|满杯葡萄_0|满杯车厘子|瑞纳冰_15|瑞纳冰_5|瑞纳冰_9|生椰拿铁_6|胶原酸奶冻_2|茉莉抹抹茶|葡萄很好喝_0|车厘子很好喝|鸳鸯拿铁_2
39,2021-07-25,2021-08-19,26,dept_39_closure_2021-07-25,70,2021-06-29,2021-07-24,2021-07-25,2021-08-19,89,89,15,22|90|93|130|132|164|177|181|193|217|236|244|251|253|260,冰萃咖啡_1|拿铁_18|拿铁_21|满杯葡萄_0|满杯车厘子|瑞纳冰_15|瑞纳冰_5|瑞纳冰_9|生椰拿铁_6|胶原酸奶冻_2|茉莉抹抹茶|葡萄很好喝_0|车厘子很好喝|酸奶冻|鸳鸯拿铁_2
39,2021-07-25,2021-08-19,26,dept_39_closure_2021-07-25,71,2021-06-29,2021-07-24,2021-07-25,2021-08-19,98,90,13,22|79|90|130|132|164|177|181|193|217|244|251|260,冰萃咖啡_1|抹茶慕斯拿铁|拿铁_18|满杯葡萄_0|满杯车厘子|瑞纳冰_15|瑞纳冰_5|瑞纳冰_9|生椰拿铁_6|胶原酸奶冻_2|葡萄很好喝_0|车厘子很好喝|鸳鸯拿铁_2
39,2021-07-25,2021-08-19,26,dept_39_closure_2021-07-25,76,2021-06-29,2021-07-24,2021-07-25,2021-08-19,93,92,12,22|90|130|132|164|177|181|193|217|244|251|260,冰萃咖啡_1|拿铁_18|满杯葡萄_0|满杯车厘子|瑞纳冰_15|瑞纳冰_5|瑞纳冰_9|生椰拿铁_6|胶原酸奶冻_2|葡萄很好喝_0|车厘子很好喝|鸳鸯拿铁_2
39,2021-07-25,2021-08-19,26,dept_39_closure_2021-07-25,78,2021-06-29,2021-07-24,2021-07-25,2021-08-19,91,91,17,22|69|90|125|130|132|140|164|177|181|193|195|217|236|244|251|260,冰萃咖啡_1|工夫厚乳|拿铁_18|满杯杨梅|满杯葡萄_0|满杯车厘子|燕麦拿铁_0|瑞纳冰_15|瑞纳冰_5|瑞纳冰_9|生椰拿铁_6|生椰胶原冻_0|胶原酸奶冻_2|茉莉抹抹茶|葡萄很好喝_0|车厘子很好喝|鸳鸯拿铁_2
246,2021-07-27,2021-08-08,13,dept_246_closure_2021-07-27,149,2021-07-14,2021-07-26,2021-07-27,2021-08-08,41,54,21,22|78|102|103|125|130|132|137|141|157|164|170|177|180|189|192|212|216|217|244|256,冰萃咖啡_1|抹茶好喝椰|杨枝甘露_1|杨枝甘露_2|满杯杨梅|满杯葡萄_0|满杯车厘子|澳瑞白_4|燕麦拿铁_1|瑞纳冰_0|瑞纳冰_15|瑞纳冰_20|瑞纳冰_5|瑞纳冰_8|生椰拿铁_2|生椰拿铁_5|美式_4|胶原酸奶冻_1|胶原酸奶冻_2|葡萄很好喝_0|香草拿铁_0
246,2021-07-27,2021-08-08,13,dept_246_closure_2021-07-27,177,2021-07-14,2021-07-26,2021-07-27,2021-08-08,79,71,9,22|33|75|90|92|132|164|177|205,冰萃咖啡_1|厚乳奶茶_0|抹茶厚乳_0|拿铁_18|拿铁_20|满杯车厘子|瑞纳冰_15|瑞纳冰_5|纯牛奶_1
246,2021-07-27,2021-08-08,13,dept_246_closure_2021-07-27,245,2021-07-14,2021-07-26,2021-07-27,2021-08-08,0,0,0,,
