treated,match_cell,blocked_available,non_blocked_available,retained_per_group,common_support,episodes_before,episodes_after,blocked_retained,non_blocked_retained,treated_retained,control_retained
0,"0|(7231.0, 10846.0]|(7231.0, 10846.0]|(3616.0, 7231.0]|(0.999, 3616.0]",1,1,1,1,,,,,,
0,"0|(10846.0, 14461.0]|(7231.0, 10846.0]|(7231.0, 10846.0]|(0.999, 3616.0]",1,0,0,0,,,,,,
0,"0|(3616.0, 7231.0]|(10846.0, 14461.0]|(0.999, 3616.0]|(7231.0, 10846.0]",6,7,6,1,,,,,,
0,"0|(3616.0, 7231.0]|(10846.0, 14461.0]|(3616.0, 7231.0]|(0.999, 3616.0]",2,33,2,1,,,,,,
0,"0|(3616.0, 7231.0]|(10846.0, 14461.0]|(3616.0, 7231.0]|(7231.0, 10846.0]",6,7,6,1,,,,,,
0,"0|(10846.0, 14461.0]|(0.999, 3616.0]|(7231.0, 10846.0]|(0.999, 3616.0]",1,4,1,1,,,,,,
0,"0|(3616.0, 7231.0]|(7231.0, 10846.0]|(0.999, 3616.0]|(0.999, 3616.0]",1,0,0,0,,,,,,
0,"0|(3616.0, 7231.0]|(0.999, 3616.0]|(3616.0, 7231.0]|(7231.0, 10846.0]",0,5,0,0,,,,,,
0,"0|(3616.0, 7231.0]|(7231.0, 10846.0]|(3616.0, 7231.0]|(0.999, 3616.0]",0,1,0,0,,,,,,
0,"0|(3616.0, 7231.0]|(0.999, 3616.0]|(3616.0, 7231.0]|(0.999, 3616.0]",0,5,0,0,,,,,,
0,"0|(10846.0, 14461.0]|(0.999, 3616.0]|(3616.0, 7231.0]|(0.999, 3616.0]",1,0,0,0,,,,,,
0,"0|(0.999, 3616.0]|(10846.0, 14461.0]|(0.999, 3616.0]|(0.999, 3616.0]",0,1,0,0,,,,,,
0,"0|(0.999, 3616.0]|(10846.0, 14461.0]|(3616.0, 7231.0]|(0.999, 3616.0]",0,1,0,0,,,,,,
0,"0|(3616.0, 7231.0]|(3616.0, 7231.0]|(10846.0, 14461.0]|(0.999, 3616.0]",2,84,2,1,,,,,,
0,"0|(3616.0, 7231.0]|(3616.0, 7231.0]|(3616.0, 7231.0]|(0.999, 3616.0]",15,153,15,1,,,,,,
0,"0|(3616.0, 7231.0]|(3616.0, 7231.0]|(7231.0, 10846.0]|(0.999, 3616.0]",23,270,23,1,,,,,,
0,"0|(7231.0, 10846.0]|(3616.0, 7231.0]|(3616.0, 7231.0]|(0.999, 3616.0]",3,25,3,1,,,,,,
0,"0|(10846.0, 14461.0]|(3616.0, 7231.0]|(7231.0, 10846.0]|(7231.0, 10846.0]",24,55,24,1,,,,,,
0,"0|(10846.0, 14461.0]|(3616.0, 7231.0]|(3616.0, 7231.0]|(10846.0, 14461.0]",97,36,36,1,,,,,,
0,"0|(7231.0, 10846.0]|(3616.0, 7231.0]|(7231.0, 10846.0]|(7231.0, 10846.0]",53,131,53,1,,,,,,
0,"0|(7231.0, 10846.0]|(3616.0, 7231.0]|(7231.0, 10846.0]|(0.999, 3616.0]",0,32,0,0,,,,,,
0,"0|(7231.0, 10846.0]|(3616.0, 7231.0]|(3616.0, 7231.0]|(7231.0, 10846.0]",55,108,55,1,,,,,,
0,"0|(7231.0, 10846.0]|(3616.0, 7231.0]|(3616.0, 7231.0]|(10846.0, 14461.0]",13,8,8,1,,,,,,
0,"0|(10846.0, 14461.0]|(3616.0, 7231.0]|(3616.0, 7231.0]|(7231.0, 10846.0]",44,28,28,1,,,,,,
0,"0|(7231.0, 10846.0]|(3616.0, 7231.0]|(7231.0, 10846.0]|(10846.0, 14461.0]",17,7,7,1,,,,,,
