spec,estimand,term,n,r2_within,coef,se,pvalue,ci_low,ci_high,group
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[1]:treated",99644,0.001480181962582816,0.03596810794050137,0.027213268141953222,0.20377550939050537,-0.021446869109142966,0.0933830849901457,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[2]:treated",99644,0.001480181962582816,0.014888661032168673,0.027733418083323566,0.5983284006128557,-0.04362373646658783,0.07340105853092517,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[3]:treated",99644,0.001480181962582816,-0.012374059318370257,0.028902418384022317,0.6739296494116565,-0.07335283186203266,0.04860471322529214,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[4]:treated",99644,0.001480181962582816,0.005246404713033597,0.01914408369589279,0.7873495458122433,-0.03514408129190323,0.04563689071797043,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-4]:treated_X_disp",99644,0.001480181962582816,0.022309205235982173,0.027250581591700018,0.4243033151453104,-0.035184496311200644,0.079802906783165,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-3]:treated_X_disp",99644,0.001480181962582816,0.026419281094271194,0.03438727561761876,0.45285812371586154,-0.04613152868302399,0.09897009087156637,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-2]:treated_X_disp",99644,0.001480181962582816,0.01601700940643146,0.019770381455627397,0.42904851887692663,-0.025694849368355466,0.05772886818121839,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_disp",99644,0.001480181962582816,-0.011959795353001897,0.02721133002448934,0.6658242107538155,-0.06937068333222926,0.04545109262622547,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[2]:treated_X_disp",99644,0.001480181962582816,-0.03940516328743193,0.031164501468836422,0.2231388313852214,-0.10515651396178807,0.026346187386924208,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[3]:treated_X_disp",99644,0.001480181962582816,-0.02070701132100747,0.030475755816228422,0.5059944076622671,-0.08500523568832637,0.04359121304631143,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[4]:treated_X_disp",99644,0.001480181962582816,-0.03637326299265019,0.025285217336339143,0.16844324321415982,-0.08972040841775612,0.016973882432455747,event_study
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-4]:disp_binary",99644,0.001480181962582816,0.03994672909477523,0.01343569107035701,0.008528322414132372,0.011599898775581843,0.06829355941396861,event_study
