event_fe_id,rel_t_history,product_window_choices,new_product_window_choices,window_novelty
851|46|2021-08-04,-10,2,1,0.5
851|46|2021-08-04,-8,2,1,0.5
851|46|2021-08-04,-7,1,1,1.0
851|46|2021-08-04,-4,2,2,1.0
852|47|2021-07-30,-9,1,1,1.0
852|47|2021-07-30,-6,1,1,1.0
852|47|2021-07-30,-3,1,1,1.0
881|220|2021-08-03,-12,1,0,0.0
881|220|2021-08-03,-11,4,2,0.5
887|44|2021-07-24,-10,1,1,1.0
887|44|2021-07-24,-9,2,2,1.0
887|44|2021-07-24,-5,1,1,1.0
889|5|2021-08-18,-12,2,1,0.5
889|5|2021-08-18,-11,3,2,0.6666666666666666
889|5|2021-08-18,-9,2,1,0.5
889|5|2021-08-18,-8,7,1,0.14285714285714285
889|5|2021-08-18,-6,3,1,0.3333333333333333
889|5|2021-08-18,-5,2,1,0.5
889|5|2021-08-18,-4,1,0,0.0
889|5|2021-08-18,-3,1,0,0.0
889|5|2021-08-18,-2,1,0,0.0
889|5|2021-08-18,-1,3,1,0.3333333333333333
917|59|2021-08-03,-12,1,0,0.0
917|59|2021-08-03,-11,1,0,0.0
917|59|2021-08-03,-8,1,0,0.0
917|59|2021-08-03,-7,2,1,0.5
917|59|2021-08-03,-6,1,1,1.0
917|59|2021-08-03,-3,1,1,1.0
917|59|2021-08-03,-1,1,0,0.0
918|46|2021-08-04,-12,1,0,0.0
918|46|2021-08-04,-11,1,0,0.0
918|46|2021-08-04,-10,3,3,1.0
918|46|2021-08-04,-9,1,0,0.0
918|46|2021-08-04,-8,1,0,0.0
918|46|2021-08-04,-4,1,1,1.0
918|46|2021-08-04,-2,1,0,0.0
918|46|2021-08-04,-1,1,0,0.0
919|220|2021-08-03,-11,1,0,0.0
919|220|2021-08-03,-8,1,1,1.0
919|220|2021-08-03,-6,1,1,1.0
919|220|2021-08-03,-3,1,1,1.0
919|220|2021-08-03,-2,2,1,0.5
934|8|2021-05-27,-10,1,1,1.0
934|8|2021-05-27,-5,1,1,1.0
934|8|2021-05-27,-1,1,1,1.0
948|133|2021-07-28,-12,1,1,1.0
948|133|2021-07-28,-6,1,0,0.0
