spec,measure,estimand,raw_count,standardized_density,estimate,se,tvalue,pvalue,ci_low,ci_high,reference_df,observations,member_events,preferred_stores,treated_stores,closure_clusters,fixed_effects,cluster,weighted,singleton_drops_within_call,absorption_iterations,absorption_error,input_member_events
log_500m_interaction,cafe_count_500m,fitted_ddd,13.0,0.7615290572222282,-0.03318495836914411,0.01414458970152161,-2.346123787922546,0.03135315107935609,-0.06302743406347319,-0.003342482674815038,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,480,9.806822021118933e-12,23363
raw_1500m_interaction,cafe_count_1500m,ddd_at_member_event_mean,,0.0,-0.04039538183569939,0.016441716782507845,-2.4568834489763,0.02505950755860939,-0.07508437202975568,-0.005706391641643098,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,470,9.928058375408e-12,23363
raw_1500m_interaction,cafe_count_1500m,density_gradient_per_sd,,,-0.01217425859249789,0.0160378442508587,-0.7590956990273835,0.4581922780783033,-0.04601115222782189,0.02166263504282611,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,470,9.928058375408e-12,23363
raw_1500m_interaction,cafe_count_1500m,fitted_ddd,0.0,-0.763852924037039,-0.031096038811836833,0.026731497635679984,-1.1632733502492303,0.2607873820105112,-0.0874945689424053,0.025302491318731635,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,470,9.928058375408e-12,23363
raw_1500m_interaction,cafe_count_1500m,fitted_ddd,10.0,-0.6377648847063471,-0.03263106720806972,0.024911018597866527,-1.3099049755783316,0.20765365650153514,-0.08518872230554059,0.019926587889401152,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,470,9.928058375408e-12,23363
raw_1500m_interaction,cafe_count_1500m,fitted_ddd,23.5,-0.4675460316099131,-0.03470335554298412,0.022508061159658185,-1.5418189641844362,0.14152593770714889,-0.08219121360445292,0.012784502518484682,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,470,9.928058375408e-12,23363
raw_1500m_interaction,cafe_count_1500m,fitted_ddd,65.5,0.06202373357899283,-0.041150474807162246,0.01573002282968568,-2.6160467313183497,0.01806979978121985,-0.07433792201290466,-0.007963027601419828,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,470,9.928058375408e-12,23363
log_1500m_interaction,cafe_count_1500m,ddd_at_member_event_mean,,0.0,-0.04107870660445035,0.01588411866210407,-2.5861495672690293,0.01922252933961625,-0.07459126759790825,-0.007566145610992447,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,470,9.928058375408e-12,23363
log_1500m_interaction,cafe_count_1500m,density_gradient_per_sd,,,-0.011104332079820627,0.02200366370955433,-0.5046583253769215,0.6202774897621857,-0.05752800454364099,0.035319340383999726,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,470,9.928058375408e-12,23363
log_1500m_interaction,cafe_count_1500m,fitted_ddd,0.0,-2.3144798821922876,-0.015377953400523064,0.06279858803739755,-0.2448773751308748,0.8094827986298678,-0.14787139270775282,0.1171154859067067,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,470,9.928058375408e-12,23363
log_1500m_interaction,cafe_count_1500m,fitted_ddd,10.0,-0.6118855423044817,-0.03428412634786025,0.026903606665217454,-1.2743319798896986,0.21969087970622705,-0.09104577479003262,0.02247752209431212,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,470,9.928058375408e-12,23363
log_1500m_interaction,cafe_count_1500m,fitted_ddd,23.5,-0.043303652407456324,-0.04059784846784883,0.016545474717669147,-2.453713124622155,0.02522180532245678,-0.07550574876983224,-0.005689948165865412,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,470,9.928058375408e-12,23363
log_1500m_interaction,cafe_count_1500m,fitted_ddd,65.5,0.6656887517428607,-0.04847073556560435,0.012292700228763366,-3.9430503195863307,0.001049026199139391,-0.0744060660018828,-0.022535405129325895,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,470,9.928058375408e-12,23363
market_new_baseline,market-new outcome,high_minus_low_ddd,,,-0.0417173839818355,0.008949270302548183,-4.661540278871344,0.00022375366214619222,-0.06059869387639152,-0.02283607408727948,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,470,9.928058375408e-12,23363
market_new_raw_500m_interaction,cafe_count_500m,ddd_at_member_event_mean,,0.0,-0.03848256570114547,0.00844415986807861,-4.557299518525319,0.00027937213978079177,-0.056298185732531494,-0.020666945669759445,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,474,9.845013693166038e-12,23363
market_new_raw_500m_interaction,cafe_count_500m,density_gradient_per_sd,,,-0.01324760176233233,0.023255301945837206,-0.5696594175894458,0.5763597310263014,-0.06231200007487395,0.03581679655020928,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,474,9.845013693166038e-12,23363
market_new_raw_500m_interaction,cafe_count_500m,fitted_ddd,0.0,-0.7083581876827008,-0.02909851852563759,0.011916327495272227,-2.441903223722439,0.025835145100636826,-0.05423977190572478,-0.0039572651455504,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,474,9.845013693166038e-12,23363
market_new_raw_500m_interaction,cafe_count_500m,fitted_ddd,2.0,-0.5674513060674384,-0.03096519677884869,0.009202949496802353,-3.3647035430986363,0.0036781877842841336,-0.050381722989214325,-0.011548670568483056,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,474,9.845013693166038e-12,23363
market_new_raw_500m_interaction,cafe_count_500m,fitted_ddd,5.0,-0.3560909836445451,-0.03376521415866534,0.006245279329044862,-5.406517848070266,4.7241034850561114e-05,-0.04694160177500374,-0.020588826542326938,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,474,9.845013693166038e-12,23363
market_new_raw_500m_interaction,cafe_count_500m,fitted_ddd,13.0,0.20753654281650388,-0.041231927171509745,0.012385043349268082,-3.3291710015650793,0.003971822364565145,-0.06736208456193477,-0.015101769781084719,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,474,9.845013693166038e-12,23363
low_density_le3_descriptive,,high_minus_low_ddd,,,-0.05387661134596216,0.036515700092099854,-1.4754369000203922,0.16077609009374172,-0.13170798371304893,0.0239547610211246,15.0,41175,9835,37,9,16,event_fe_id + rel_t + calendar_month,closure_event_id,False,0,509,9.715672710797207e-12,9835
preferred_store_event_post_fe,,high_minus_low_ddd,,,-0.04453254281955757,0.01714869793073172,-2.596846885952315,0.01880225855927016,-0.08071313285337098,-0.00835195278574416,17.0,99644,23363,101,18,18,event_fe_id + rel_t + calendar_month + preferred_store_event_post_fe,closure_event_id,False,0,1215,9.945183565562843e-12,23363
