spec,term,estimate,se,pvalue,ci_low,ci_high,observations,closure_clusters,reference_df
raw_500m_density_interacted_event_study,rel_p2_X_treated_X_disp_X_density,0.1466331453073114,0.04840045727818222,0.007562004427449219,0.0445171065675532,0.24874918404706958,99644,18,17
raw_500m_density_interacted_event_study,rel_p3_X_treated,-0.03717806318291215,0.028869932133304604,0.21507824602585654,-0.09808829572874492,0.023732169362920615,99644,18,17
raw_500m_density_interacted_event_study,rel_p3_X_disp,0.06847358365552023,0.014967911487075145,0.0002691964540373657,0.036894050832460876,0.10005311647857958,99644,18,17
raw_500m_density_interacted_event_study,rel_p3_X_treated_X_disp,0.006073616444905123,0.03476552173046663,0.8633773153508515,-0.06727522287353134,0.07942245576334157,99644,18,17
raw_500m_density_interacted_event_study,rel_p3_X_density,-0.02267436608934031,0.008019943670980917,0.01161896749978822,-0.03959496817972047,-0.005753763998960149,99644,18,17
raw_500m_density_interacted_event_study,rel_p3_X_treated_X_density,-0.0765698637008286,0.046090988840721984,0.11498689875870366,-0.17381334995471914,0.020673622553061932,99644,18,17
raw_500m_density_interacted_event_study,rel_p3_X_disp_X_density,0.03133384400299484,0.013382110468471,0.031647373089524145,0.0031000588723302386,0.05956762913365944,99644,18,17
raw_500m_density_interacted_event_study,rel_p3_X_treated_X_disp_X_density,0.08650147212688572,0.0671320183868821,0.21482327915050053,-0.05513470603714163,0.22813765029091307,99644,18,17
raw_500m_density_interacted_event_study,rel_p4_X_treated,-0.011586317177462785,0.01707761828421676,0.5066173930194637,-0.047616942265792064,0.024444307910866492,99644,18,17
raw_500m_density_interacted_event_study,rel_p4_X_disp,0.08287751475345607,0.01609768512643072,8.042304191394516e-05,0.04891436790665905,0.11684066160025311,99644,18,17
raw_500m_density_interacted_event_study,rel_p4_X_treated_X_disp,-0.016997399663628374,0.018648618755598968,0.37479903506842394,-0.0563425460192631,0.022347746692006353,99644,18,17
raw_500m_density_interacted_event_study,rel_p4_X_density,-0.012313830460916561,0.015615280244749194,0.441218938868972,-0.04525919197351913,0.02063153105168601,99644,18,17
raw_500m_density_interacted_event_study,rel_p4_X_treated_X_density,-0.05560796533844755,0.0445093205059405,0.22846388721590355,-0.14951442310065063,0.03829849242375554,99644,18,17
raw_500m_density_interacted_event_study,rel_p4_X_disp_X_density,0.015251712765255568,0.016710704122059147,0.3741673727770384,-0.020004791108025964,0.0505082166385371,99644,18,17
raw_500m_density_interacted_event_study,rel_p4_X_treated_X_disp_X_density,0.08142813054177336,0.05107130358682639,0.12926776026083794,-0.026322901345960548,0.18917916242950727,99644,18,17
preferred_store_event_period_fe_event_study,rel_m4_X_disp_store_fe,0.036890065827919566,0.014669215045752486,0.022262805941706338,0.005940727409806099,0.06783940424603303,99644,18,17
preferred_store_event_period_fe_event_study,rel_m4_X_treated_X_disp_store_fe,0.01912034240397001,0.027601679189250748,0.49783763849146356,-0.03911411032386514,0.07735479513180515,99644,18,17
preferred_store_event_period_fe_event_study,rel_m3_X_disp_store_fe,0.03402911510698422,0.014020857815541552,0.026627282735041516,0.004447690873170554,0.06361053934079788,99644,18,17
preferred_store_event_period_fe_event_study,rel_m3_X_treated_X_disp_store_fe,0.02722285359709832,0.03512659017999515,0.44899020625752895,-0.04688777356081747,0.10133348075501411,99644,18,17
preferred_store_event_period_fe_event_study,rel_m2_X_disp_store_fe,0.014611414712768495,0.015077033674322948,0.34607355646248816,-0.0171983458008335,0.04642117522637049,99644,18,17
preferred_store_event_period_fe_event_study,rel_m2_X_treated_X_disp_store_fe,0.007706277238606443,0.02016968316735565,0.7071418568698581,-0.03484803450784019,0.05026058898505308,99644,18,17
preferred_store_event_period_fe_event_study,rel_p1_X_disp_store_fe,0.02858959040955263,0.013203442492886453,0.04487704635495426,0.0007327617570362273,0.05644641906206903,99644,18,17
preferred_store_event_period_fe_event_study,rel_p1_X_treated_X_disp_store_fe,-0.02555026956778337,0.029384379675200144,0.3966746554249312,-0.08754589155148533,0.03644535241591859,99644,18,17
preferred_store_event_period_fe_event_study,rel_p2_X_disp_store_fe,0.07228286684123589,0.01371421484135368,6.244937913970485e-05,0.04334840273119689,0.10121733095127489,99644,18,17
preferred_store_event_period_fe_event_study,rel_p2_X_treated_X_disp_store_fe,-0.041878339499349534,0.03412778082106096,0.23650663568170122,-0.1138816631125004,0.030124984113801337,99644,18,17
preferred_store_event_period_fe_event_study,rel_p3_X_disp_store_fe,0.07555421556218798,0.01617445007697224,0.00021920436195094664,0.04142910882690686,0.1096793222974691,99644,18,17
preferred_store_event_period_fe_event_study,rel_p3_X_treated_X_disp_store_fe,-0.023361986259031995,0.030783231276754065,0.45829506985686763,-0.0883089271427693,0.04158495462470532,99644,18,17
preferred_store_event_period_fe_event_study,rel_p4_X_disp_store_fe,0.09076081792623265,0.015673236142589825,2.1717186537252905e-05,0.05769318015753861,0.1238284556949267,99644,18,17
preferred_store_event_period_fe_event_study,rel_p4_X_treated_X_disp_store_fe,-0.036503487916687435,0.027222579002143088,0.1975874280213115,-0.09393810916420336,0.020931133330828494,99644,18,17
