member_id,dept_id,closure_start,novelty_pre_mean,novelty_pre_selected_for_heterogeneity,novelty_pre_group,novelty_pre_split_rule,novelty_pre_threshold_low,novelty_pre_threshold_high
145873,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
146371,46,2021-08-04,0.08333333333333333,1,baseline,quartile_tails,0.25,1.0
147333,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
147859,46,2021-08-04,0.7222222222222222,0,middle,quartile_tails,0.25,1.0
148196,46,2021-08-04,0.3333333333333333,0,middle,quartile_tails,0.25,1.0
149178,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
152334,46,2021-08-04,0.125,1,baseline,quartile_tails,0.25,1.0
152771,46,2021-08-04,0.25,1,baseline,quartile_tails,0.25,1.0
153738,46,2021-08-04,0.16666666666666666,1,baseline,quartile_tails,0.25,1.0
154030,46,2021-08-04,0.14583333333333331,1,baseline,quartile_tails,0.25,1.0
155892,46,2021-08-04,0.30833333333333335,0,middle,quartile_tails,0.25,1.0
155934,46,2021-08-04,0.9166666666666666,0,middle,quartile_tails,0.25,1.0
156570,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
156631,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
158023,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
159766,46,2021-08-04,0.25,1,baseline,quartile_tails,0.25,1.0
160759,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
160811,46,2021-08-04,0.2222222222222222,1,baseline,quartile_tails,0.25,1.0
161023,46,2021-08-04,0.3333333333333333,0,middle,quartile_tails,0.25,1.0
162842,46,2021-08-04,0.125,1,baseline,quartile_tails,0.25,1.0
164827,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
164920,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
166083,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
166163,46,2021-08-04,0.75,0,middle,quartile_tails,0.25,1.0
166912,46,2021-08-04,0.08333333333333333,1,baseline,quartile_tails,0.25,1.0
168601,46,2021-08-04,0.1111111111111111,1,baseline,quartile_tails,0.25,1.0
168960,46,2021-08-04,0.611111111111111,0,middle,quartile_tails,0.25,1.0
169183,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
169232,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
170449,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
170608,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
171077,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
171362,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
172179,46,2021-08-04,0.375,0,middle,quartile_tails,0.25,1.0
174173,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
175174,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
177354,46,2021-08-04,0.25,1,baseline,quartile_tails,0.25,1.0
177800,46,2021-08-04,0.5791666666666666,0,middle,quartile_tails,0.25,1.0
179373,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
182100,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
184022,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
184325,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
184731,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
186042,46,2021-08-04,0.75,0,middle,quartile_tails,0.25,1.0
186729,46,2021-08-04,0.41666666666666663,0,middle,quartile_tails,0.25,1.0
187838,46,2021-08-04,0.38888888888888884,0,middle,quartile_tails,0.25,1.0
188900,46,2021-08-04,0.3333333333333333,0,middle,quartile_tails,0.25,1.0
190474,46,2021-08-04,0.3,0,middle,quartile_tails,0.25,1.0
192271,46,2021-08-04,0.25,1,baseline,quartile_tails,0.25,1.0
192671,46,2021-08-04,0.6666666666666666,0,middle,quartile_tails,0.25,1.0
192983,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
193792,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
194464,46,2021-08-04,0.25,1,baseline,quartile_tails,0.25,1.0
194841,46,2021-08-04,0.41666666666666663,0,middle,quartile_tails,0.25,1.0
194895,46,2021-08-04,0.4666666666666667,0,middle,quartile_tails,0.25,1.0
195517,46,2021-08-04,0.25,1,baseline,quartile_tails,0.25,1.0
196646,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
198219,46,2021-08-04,0.7999999999999999,0,middle,quartile_tails,0.25,1.0
199081,46,2021-08-04,0.125,1,baseline,quartile_tails,0.25,1.0
200054,46,2021-08-04,0.41666666666666663,0,middle,quartile_tails,0.25,1.0
200067,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
200587,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
202384,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
