treated,match_cell,blocked_available,non_blocked_available,retained_per_group,common_support,episodes_before,episodes_after,blocked_retained,non_blocked_retained,treated_retained,control_retained
0,"0|(12947.5, 19420.75]|(12947.5, 19420.75]|(12947.5, 19420.75]|(19420.75, 25894.0]",95,45,45,1,,,,,,
0,"0|(0.999, 6474.25]|(12947.5, 19420.75]|(12947.5, 19420.75]|(0.999, 6474.25]",9,50,9,1,,,,,,
0,"0|(0.999, 6474.25]|(12947.5, 19420.75]|(12947.5, 19420.75]|(6474.25, 12947.5]",26,99,26,1,,,,,,
0,"0|(0.999, 6474.25]|(12947.5, 19420.75]|(0.999, 6474.25]|(6474.25, 12947.5]",8,77,8,1,,,,,,
0,"0|(12947.5, 19420.75]|(12947.5, 19420.75]|(12947.5, 19420.75]|(12947.5, 19420.75]",28,23,23,1,,,,,,
0,"0|(0.999, 6474.25]|(12947.5, 19420.75]|(6474.25, 12947.5]|(6474.25, 12947.5]",10,151,10,1,,,,,,
0,"0|(19420.75, 25894.0]|(12947.5, 19420.75]|(12947.5, 19420.75]|(12947.5, 19420.75]",7,5,5,1,,,,,,
0,"0|(19420.75, 25894.0]|(19420.75, 25894.0]|(12947.5, 19420.75]|(19420.75, 25894.0]",15,1,1,1,,,,,,
0,"0|(6474.25, 12947.5]|(12947.5, 19420.75]|(12947.5, 19420.75]|(19420.75, 25894.0]",56,54,54,1,,,,,,
0,"0|(6474.25, 12947.5]|(12947.5, 19420.75]|(0.999, 6474.25]|(19420.75, 25894.0]",48,18,18,1,,,,,,
0,"0|(19420.75, 25894.0]|(12947.5, 19420.75]|(12947.5, 19420.75]|(19420.75, 25894.0]",69,10,10,1,,,,,,
0,"0|(12947.5, 19420.75]|(12947.5, 19420.75]|(12947.5, 19420.75]|(6474.25, 12947.5]",4,3,3,1,,,,,,
0,"0|(6474.25, 12947.5]|(12947.5, 19420.75]|(6474.25, 12947.5]|(19420.75, 25894.0]",68,53,53,1,,,,,,
0,"0|(12947.5, 19420.75]|(19420.75, 25894.0]|(12947.5, 19420.75]|(19420.75, 25894.0]",4,1,1,1,,,,,,
0,"0|(12947.5, 19420.75]|(19420.75, 25894.0]|(12947.5, 19420.75]|(6474.25, 12947.5]",0,1,0,0,,,,,,
0,"0|(6474.25, 12947.5]|(19420.75, 25894.0]|(6474.25, 12947.5]|(12947.5, 19420.75]",9,35,9,1,,,,,,
0,"0|(6474.25, 12947.5]|(12947.5, 19420.75]|(12947.5, 19420.75]|(0.999, 6474.25]",0,1,0,0,,,,,,
0,"0|(6474.25, 12947.5]|(19420.75, 25894.0]|(0.999, 6474.25]|(12947.5, 19420.75]",20,48,20,1,,,,,,
0,"0|(12947.5, 19420.75]|(12947.5, 19420.75]|(12947.5, 19420.75]|(0.999, 6474.25]",1,0,0,0,,,,,,
0,"0|(12947.5, 19420.75]|(19420.75, 25894.0]|(12947.5, 19420.75]|(12947.5, 19420.75]",4,3,3,1,,,,,,
0,"0|(19420.75, 25894.0]|(12947.5, 19420.75]|(12947.5, 19420.75]|(6474.25, 12947.5]",1,0,0,0,,,,,,
0,"0|(19420.75, 25894.0]|(19420.75, 25894.0]|(12947.5, 19420.75]|(12947.5, 19420.75]",0,1,0,0,,,,,,
0,"0|(6474.25, 12947.5]|(12947.5, 19420.75]|(6474.25, 12947.5]|(0.999, 6474.25]",1,1,1,1,,,,,,
0,"0|(19420.75, 25894.0]|(0.999, 6474.25]|(6474.25, 12947.5]|(0.999, 6474.25]",1,0,0,0,,,,,,
0,"0|(19420.75, 25894.0]|(12947.5, 19420.75]|(0.999, 6474.25]|(6474.25, 12947.5]",3,1,1,1,,,,,,
0,"0|(0.999, 6474.25]|(19420.75, 25894.0]|(6474.25, 12947.5]|(0.999, 6474.25]",1,39,1,1,,,,,,
0,"0|(0.999, 6474.25]|(19420.75, 25894.0]|(0.999, 6474.25]|(0.999, 6474.25]",0,58,0,0,,,,,,
0,"0|(12947.5, 19420.75]|(6474.25, 12947.5]|(12947.5, 19420.75]|(6474.25, 12947.5]",36,115,36,1,,,,,,
0,"0|(19420.75, 25894.0]|(6474.25, 12947.5]|(12947.5, 19420.75]|(12947.5, 19420.75]",60,73,60,1,,,,,,
0,"0|(0.999, 6474.25]|(6474.25, 12947.5]|(19420.75, 25894.0]|(0.999, 6474.25]",28,570,28,1,,,,,,
0,"0|(6474.25, 12947.5]|(6474.25, 12947.5]|(12947.5, 19420.75]|(0.999, 6474.25]",23,228,23,1,,,,,,
0,"0|(12947.5, 19420.75]|(6474.25, 12947.5]|(6474.25, 12947.5]|(6474.25, 12947.5]",35,42,35,1,,,,,,
0,"0|(0.999, 6474.25]|(6474.25, 12947.5]|(6474.25, 12947.5]|(0.999, 6474.25]",4,61,4,1,,,,,,
0,"0|(6474.25, 12947.5]|(6474.25, 12947.5]|(6474.25, 12947.5]|(0.999, 6474.25]",13,86,13,1,,,,,,
0,"0|(6474.25, 12947.5]|(6474.25, 12947.5]|(12947.5, 19420.75]|(6474.25, 12947.5]",38,178,38,1,,,,,,
0,"0|(6474.25, 12947.5]|(6474.25, 12947.5]|(19420.75, 25894.0]|(0.999, 6474.25]",13,198,13,1,,,,,,
0,"0|(19420.75, 25894.0]|(6474.25, 12947.5]|(6474.25, 12947.5]|(12947.5, 19420.75]",81,37,37,1,,,,,,
0,"0|(0.999, 6474.25]|(6474.25, 12947.5]|(12947.5, 19420.75]|(0.999, 6474.25]",30,276,30,1,,,,,,
