evaluation_slice,closure_duration_days,n,n_positive,n_negative,prevalence,mean_predicted_probability,always_negative_accuracy,threshold,predicted_positive_share,tn,fp,fn,tp,accuracy,sensitivity,specificity,false_positive_rate,false_negative_rate,positive_predictive_value,negative_predictive_value,f1,roc_auc,pr_auc,average_precision,brier_score,constant_prevalence_brier,brier_skill_score,calibration_intercept,calibration_slope
control_pre_t-1,18,3176,791,2385,0.24905541561712846,0.3172235896523874,0.7509445843828715,0.5,0.2660579345088161,2006,379,325,466,0.7783375314861462,0.5891276864728192,0.8410901467505241,0.1589098532494759,0.4108723135271808,0.5514792899408284,0.8605748605748605,0.5696821515892421,0.8084785068922653,0.6093390556735861,0.6099824937826,0.15716253615605197,0.18702681556890785,0.159679131155675,-0.7190408614456132,0.5511385135062704
control_pre_t-1,26,4645,1985,2660,0.42734122712594186,0.4320287430006309,0.5726587728740582,0.5,0.4025834230355221,2070,590,705,1280,0.721205597416577,0.6448362720403022,0.7781954887218046,0.22180451127819548,0.35516372795969775,0.6844919786096256,0.745945945945946,0.6640726329442282,0.7904054847446071,0.7403070956205725,0.7404267522314978,0.19297349912359177,0.24472070272443605,0.21145413128007162,-0.15152523646661195,0.5344949734276655
control_pre_t-1,28,1891,862,1029,0.4558434690639873,0.43444853271891926,0.5441565309360127,0.5,0.4262295081967213,800,229,285,577,0.7281861448968799,0.6693735498839907,0.7774538386783285,0.22254616132167152,0.3306264501160093,0.7158808933002482,0.7373271889400922,0.6918465227817746,0.8044460077700288,0.780300553557586,0.780483551305823,0.19409008573524092,0.24805020077569695,0.2175370746393802,0.00026627278647203926,0.480829007252356
control_pre_t-1,29,974,448,526,0.459958932238193,0.42015278004411055,0.540041067761807,0.5,0.4086242299794661,425,101,151,297,0.7412731006160165,0.6629464285714286,0.8079847908745247,0.1920152091254753,0.33705357142857145,0.7462311557788944,0.7378472222222222,0.7021276595744681,0.8144181151548072,0.8067593635695702,0.8070132839969633,0.18902688269628015,0.2483967128924944,0.23901214112245273,0.08647557621021632,0.47422125906689516
treated_pre_t-1,10,590,62,528,0.10508474576271186,0.21055084916484795,0.8949152542372881,0.5,0.15932203389830507,464,64,32,30,0.8372881355932204,0.4838709677419355,0.8787878787878788,0.12121212121212122,0.5161290322580645,0.3191489361702128,0.9354838709677419,0.38461538461538464,0.7796309872922776,0.3505310159052453,0.35524460366045385,0.12344624516437432,0.09404194197069807,-0.3126722245148674,-1.578593383878677,0.4196899090060962
treated_pre_t-1,11,994,274,720,0.27565392354124746,0.2061447779490131,0.7243460764587526,0.5,0.14285714285714285,677,43,175,99,0.7806841046277666,0.3613138686131387,0.9402777777777778,0.059722222222222225,0.6386861313868614,0.6971830985915493,0.7946009389671361,0.47596153846153844,0.7968319140308192,0.6335531936269458,0.6344265827495007,0.15947264808121664,0.19966883797756357,0.20131428771506,0.10329699470699709,0.6080471587190244
treated_pre_t-1,12,220,42,178,0.19090909090909092,0.2573146238975989,0.8090909090909091,0.5,0.23636363636363636,150,28,18,24,0.7909090909090909,0.5714285714285714,0.8426966292134831,0.15730337078651685,0.42857142857142855,0.46153846153846156,0.8928571428571429,0.5106382978723404,0.8218298555377207,0.5848224684352878,0.589415381808577,0.14108621066307336,0.15446280991735536,0.08660077633858332,-0.8992222795969567,0.4859143388235986
treated_pre_t-1,13,441,124,317,0.2811791383219955,0.23044429507808467,0.7188208616780045,0.5,0.1927437641723356,286,31,70,54,0.7709750566893424,0.43548387096774194,0.9022082018927445,0.09779179810725552,0.5645161290322581,0.6352941176470588,0.8033707865168539,0.5167464114832536,0.7964790882263151,0.6461884468460167,0.6480081038722616,0.16288472209881008,0.20211743049449563,0.1941084858426102,-0.1217163564505114,0.46622880860018107
treated_pre_t-1,14,1337,302,1035,0.22587883320867613,0.22485764669692396,0.7741211667913239,0.5,0.15706806282722513,954,81,173,129,0.8100224382946896,0.4271523178807947,0.9217391304347826,0.0782608695652174,0.5728476821192053,0.6142857142857143,0.8464951197870453,0.50390625,0.7957321559970567,0.5496594754604142,0.5510939034140027,0.1421067365590025,0.1748575859169632,0.18730013448494887,-0.32592170145998883,0.6509483464104354
treated_pre_t-1,15,123,48,75,0.3902439024390244,0.36316978249640197,0.6097560975609756,0.5,0.34146341463414637,63,12,18,30,0.7560975609756098,0.625,0.84,0.16,0.375,0.7142857142857143,0.7777777777777778,0.6666666666666666,0.7805555555555556,0.7784740887744871,0.7803603284799473,0.18380722271122332,0.2379535990481856,0.22755014655608397,-0.12907033343156185,0.39227496526099276
treated_pre_t-1,16,304,50,254,0.16447368421052633,0.2653729342873703,0.8355263157894737,0.5,0.23684210526315788,209,45,23,27,0.7763157894736842,0.54,0.8228346456692913,0.17716535433070865,0.46,0.375,0.9008620689655172,0.4426229508196721,0.762755905511811,0.3997181342047822,0.4066433841040528,0.17053361353062813,0.1374220914127424,-0.240947592759569,-1.2289159700880987,0.33573703804672167
treated_pre_t-1,17,403,110,293,0.2729528535980149,0.30521467431011046,0.7270471464019851,0.5,0.2729528535980149,244,49,49,61,0.7568238213399504,0.5545454545454546,0.8327645051194539,0.16723549488054607,0.44545454545454544,0.5545454545454546,0.8327645051194539,0.5545454545454546,0.8182748991622711,0.6401757925267862,0.6424433333320098,0.15792777636206956,0.19844959331071554,0.20419198786263248,-0.4783329377928118,0.5481805516266938
treated_pre_t-1,18,619,167,452,0.26978998384491115,0.3172134965278663,0.7302100161550888,0.5,0.2778675282714055,372,80,75,92,0.7495961227786753,0.5508982035928144,0.8230088495575221,0.17699115044247787,0.4491017964071856,0.5348837209302325,0.8322147651006712,0.5427728613569321,0.785053786232844,0.6067140192553221,0.6084453159908152,0.1704823167660342,0.19700334846187373,0.13462223816450591,-0.5803583123257852,0.5086387752345702
treated_pre_t-1,26,440,188,252,0.42727272727272725,0.4114316910248652,0.5727272727272728,0.5,0.3795454545454545,204,48,69,119,0.7340909090909091,0.6329787234042553,0.8095238095238095,0.19047619047619047,0.3670212765957447,0.7125748502994012,0.7472527472527473,0.6704225352112676,0.8012284701114487,0.785622112386283,0.7861968114614843,0.18573420805510893,0.2447107438016529,0.2410050937295447,-0.051974766023736636,0.5741822467328647
treated_pre_t-1,28,1204,591,613,0.4908637873754153,0.4686168800832467,0.5091362126245846,0.5,0.4684385382059801,471,142,169,422,0.7416943521594684,0.7140439932318104,0.768352365415987,0.23164763458401305,0.2859560067681895,0.74822695035461,0.7359375,0.7307359307359307,0.8356671441939036,0.8345538758579965,0.8347443019383741,0.17785235472897568,0.24991652961887836,0.288352975290591,0.09304335800337721,0.5627759109752232
treated_pre_t-1,29,715,366,349,0.5118881118881119,0.47317879561650716,0.4881118881118881,0.5,0.47692307692307695,274,75,100,266,0.7552447552447552,0.726775956284153,0.7851002865329513,0.2148997134670487,0.273224043715847,0.7800586510263929,0.732620320855615,0.7524752475247525,0.80885277216716,0.805916233175544,0.8064312244615008,0.1908920570395848,0.24985867279573573,0.23599987583523774,0.14070951816909966,0.4559326980672595
