evaluation_slice,closure_event_id,closure_duration_days,n,n_positive,n_negative,prevalence,mean_predicted_probability,always_negative_accuracy,threshold,predicted_positive_share,tn,fp,fn,tp,accuracy,sensitivity,specificity,false_positive_rate,false_negative_rate,positive_predictive_value,negative_predictive_value,f1,roc_auc,pr_auc,average_precision,brier_score,constant_prevalence_brier,brier_skill_score,calibration_intercept,calibration_slope
control_pre_t-1,dept_131_closure_2021-08-29,11,2312,567,1745,0.24524221453287198,0.1813638435256652,0.754757785467128,0.5,0.12932525951557095,1660,85,353,214,0.8105536332179931,0.37742504409171074,0.9512893982808023,0.04871060171919771,0.6225749559082893,0.7157190635451505,0.8246398410332837,0.4942263279445728,0.8306868199895898,0.6598467634899101,0.6602440864188026,0.13625332026331077,0.18509847074388477,0.2638873799673882,0.2321199383066704,0.7231202224533919
control_pre_t-1,dept_133_closure_2021-07-28,26,1984,819,1165,0.4128024193548387,0.4294974127515161,0.5871975806451613,0.5,0.3936491935483871,926,239,277,542,0.7399193548387096,0.6617826617826618,0.7948497854077253,0.20515021459227467,0.33821733821733824,0.6939820742637645,0.769742310889443,0.6775,0.8009830893951065,0.7463912566653373,0.7466910805164344,0.18501967614498227,0.24239658192963057,0.2367067444924006,-0.21781768669964066,0.5589299417618985
control_pre_t-1,dept_182_closure_2021-08-03,18,1369,319,1050,0.23301680058436816,0.296621747821005,0.7669831994156319,0.5,0.2352081811541271,912,138,135,184,0.8005843681519357,0.5768025078369906,0.8685714285714285,0.13142857142857142,0.4231974921630094,0.5714285714285714,0.8710601719197708,0.5741029641185648,0.8088042991491267,0.6225064586343289,0.6232316726194679,0.14581453719969026,0.17871997122979297,0.184117274659774,-0.7133068606270625,0.6014556768519176
control_pre_t-1,dept_19_closure_2021-07-15,11,2708,809,1899,0.29874446085672085,0.2595511394349074,0.7012555391432791,0.5,0.20827178729689808,1717,182,427,382,0.7751107828655834,0.4721878862793572,0.9041600842548709,0.09583991574512901,0.5278121137206427,0.6773049645390071,0.800839552238806,0.5564457392571013,0.8083748456509868,0.6596391569509938,0.6601055400950705,0.16132662693362118,0.20949620796414803,0.22993056293778025,-0.01915789728617802,0.6201521950923659
control_pre_t-1,dept_220_closure_2021-08-03,10,1244,216,1028,0.17363344051446947,0.22641991277924745,0.8263665594855305,0.5,0.17845659163987138,922,106,100,116,0.8344051446945338,0.5370370370370371,0.896887159533074,0.10311284046692606,0.46296296296296297,0.5225225225225225,0.9021526418786693,0.5296803652968036,0.8430609597924773,0.5798229057105118,0.5807647985982435,0.12168216832996141,0.14348486884957765,0.15195121753550955,-0.8122902526238335,0.5990104249838061
control_pre_t-1,dept_238_closure_2021-07-24,29,974,448,526,0.459958932238193,0.42015278004411055,0.540041067761807,0.5,0.4086242299794661,425,101,151,297,0.7412731006160165,0.6629464285714286,0.8079847908745247,0.1920152091254753,0.33705357142857145,0.7462311557788944,0.7378472222222222,0.7021276595744681,0.8144181151548072,0.8067593635695702,0.8070132839969633,0.18902688269628015,0.2483967128924944,0.23901214112245273,0.08647557621021632,0.47422125906689516
control_pre_t-1,dept_246_closure_2021-07-27,13,465,117,348,0.25161290322580643,0.23981260057903014,0.7483870967741936,0.5,0.1956989247311828,308,40,66,51,0.7720430107526882,0.4358974358974359,0.8850574712643678,0.11494252873563218,0.5641025641025641,0.5604395604395604,0.8235294117647058,0.49038461538461536,0.7989733765595833,0.6026170094607903,0.6049688843893949,0.15829975775475377,0.1883038501560874,0.15933870909417336,-0.35232369299358374,0.4456570681918036
control_pre_t-1,dept_39_closure_2021-07-25,26,2661,1166,1495,0.4381811349116873,0.4339160632615267,0.5618188650883127,0.5,0.4092446448703495,1144,351,428,738,0.7072529124389327,0.6329331046312179,0.7652173913043478,0.23478260869565218,0.3670668953687822,0.6776859504132231,0.727735368956743,0.6545454545454545,0.7826775357538278,0.736441394234001,0.73663501239872,0.19890374519257384,0.246178427919193,0.19203422138245552,-0.10407262487055685,0.5172908490258868
control_pre_t-1,dept_3_closure_2021-08-09,14,799,136,663,0.1702127659574468,0.21357719595771335,0.8297872340425532,0.5,0.14267834793491865,612,51,73,63,0.8448060075093867,0.4632352941176471,0.9230769230769231,0.07692307692307693,0.5367647058823529,0.5526315789473685,0.8934306569343066,0.504,0.8417842250022181,0.5966078219750937,0.5979011269864631,0.10885210297402334,0.14124038026256225,0.22931315554609755,-0.6042583622874227,0.7857708343334774
control_pre_t-1,dept_44_closure_2021-07-24,13,1197,412,785,0.3441938178780284,0.2935332084327263,0.6558061821219716,0.5,0.2698412698412698,694,91,180,232,0.7736006683375104,0.5631067961165048,0.8840764331210191,0.1159235668789809,0.4368932038834951,0.718266253869969,0.7940503432494279,0.6312925170068027,0.8395986642755551,0.751125385154479,0.7515175960823464,0.16126216806909988,0.22572443361257502,0.2855794763189694,0.07348151363918545,0.5258280511376272
