scope,outcome,component,rel_t,term,coef,se,pvalue,ci_low,ci_high,n
noncoffee_consumables,novelty_noncoffee_consumables,high_minus_low_ddd,1,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_disp",0.028251368125326467,0.06226652140648525,0.6557712219513196,-0.10311950871555936,0.1596222449662123,30418
noncoffee_consumables,novelty_noncoffee_consumables,high_minus_low_ddd,2,"C(rel_t, contr.treatment(base=-1))[2]:treated_X_disp",-0.056894976249447705,0.04270999567424397,0.2004038096806553,-0.1470051904521554,0.03321523795326,30418
noncoffee_consumables,novelty_noncoffee_consumables,high_minus_low_ddd,3,"C(rel_t, contr.treatment(base=-1))[3]:treated_X_disp",0.05015557323864775,0.04199779146218755,0.248780761414932,-0.03845202142286491,0.1387631679001604,30418
noncoffee_consumables,novelty_noncoffee_consumables,high_minus_low_ddd,4,"C(rel_t, contr.treatment(base=-1))[4]:treated_X_disp",-0.010740665129880226,0.05288533277669421,0.8414729870206301,-0.1223189640610414,0.10083763380128094,30418
noncoffee_consumables,novelty_noncoffee_consumables,common_high_minus_low_shift,-4,"C(rel_t, contr.treatment(base=-1))[-4]:disp_binary",-0.016724419475994238,0.019060109018854236,0.3924706866563781,-0.056937734399171616,0.023488895447183137,30418
noncoffee_consumables,novelty_noncoffee_consumables,common_high_minus_low_shift,-3,"C(rel_t, contr.treatment(base=-1))[-3]:disp_binary",-0.018948696361324017,0.022358806496652762,0.4084998414034333,-0.06612165460971975,0.02822426188707171,30418
noncoffee_consumables,novelty_noncoffee_consumables,common_high_minus_low_shift,-2,"C(rel_t, contr.treatment(base=-1))[-2]:disp_binary",-0.02321112399387547,0.022845573390484836,0.3238716437675404,-0.07141107061765158,0.024988822629900636,30418
noncoffee_consumables,novelty_noncoffee_consumables,common_high_minus_low_shift,1,"C(rel_t, contr.treatment(base=-1))[1]:disp_binary",-0.0580335471126751,0.026866610553384972,0.04534031241140313,-0.11471714058178406,-0.0013499536435661458,30418
noncoffee_consumables,novelty_noncoffee_consumables,common_high_minus_low_shift,2,"C(rel_t, contr.treatment(base=-1))[2]:disp_binary",-0.014265352988418443,0.026968075298187174,0.6036638950063216,-0.07116301835671195,0.04263231237987507,30418
noncoffee_consumables,novelty_noncoffee_consumables,common_high_minus_low_shift,3,"C(rel_t, contr.treatment(base=-1))[3]:disp_binary",-0.037545602397162765,0.025865325165249833,0.1648231493947807,-0.09211666835652746,0.01702546356220193,30418
noncoffee_consumables,novelty_noncoffee_consumables,common_high_minus_low_shift,4,"C(rel_t, contr.treatment(base=-1))[4]:disp_binary",-0.01841737719508794,0.029106125451386425,0.5353057386701585,-0.07982593408278985,0.04299117969261397,30418
noncoffee_drinks,novelty_noncoffee_drinks,baseline_treatment_effect,-4,"C(rel_t, contr.treatment(base=-1))[-4]:treated",0.0144717179239129,0.0369346007243385,0.7000593624484188,-0.06345347804534515,0.09239691389317095,21433
noncoffee_drinks,novelty_noncoffee_drinks,baseline_treatment_effect,-3,"C(rel_t, contr.treatment(base=-1))[-3]:treated",-0.05969738276750631,0.04103612584334584,0.16395387935201455,-0.14627604032572014,0.02688127479070753,21433
noncoffee_drinks,novelty_noncoffee_drinks,baseline_treatment_effect,-2,"C(rel_t, contr.treatment(base=-1))[-2]:treated",-0.0118088998928926,0.03316008856106181,0.726133404729524,-0.0817705713013487,0.058152771515563494,21433
noncoffee_drinks,novelty_noncoffee_drinks,baseline_treatment_effect,1,"C(rel_t, contr.treatment(base=-1))[1]:treated",0.049649199933770545,0.0586363573841215,0.40890729202207776,-0.07406270030264267,0.17336110017018375,21433
noncoffee_drinks,novelty_noncoffee_drinks,baseline_treatment_effect,2,"C(rel_t, contr.treatment(base=-1))[2]:treated",0.10053935905333004,0.041043851793840076,0.025435937810018405,0.013944401164409898,0.1871343169422502,21433
noncoffee_drinks,novelty_noncoffee_drinks,baseline_treatment_effect,3,"C(rel_t, contr.treatment(base=-1))[3]:treated",0.056235624343610166,0.060426935486171944,0.3650689611289464,-0.07125406546583606,0.18372531415305637,21433
noncoffee_drinks,novelty_noncoffee_drinks,baseline_treatment_effect,4,"C(rel_t, contr.treatment(base=-1))[4]:treated",0.037225376385110184,0.07449251102842581,0.6236784598835508,-0.11994008381457265,0.194390836584793,21433
noncoffee_drinks,novelty_noncoffee_drinks,high_minus_low_ddd,-4,"C(rel_t, contr.treatment(base=-1))[-4]:treated_X_disp",-0.011304877108004572,0.04231177742614094,0.7925445181013844,-0.10057492424748705,0.07796517003147792,21433
noncoffee_drinks,novelty_noncoffee_drinks,high_minus_low_ddd,-3,"C(rel_t, contr.treatment(base=-1))[-3]:treated_X_disp",0.08769632066051553,0.057837259039772805,0.14782767708718358,-0.034329629440770115,0.20972227076180117,21433
noncoffee_drinks,novelty_noncoffee_drinks,high_minus_low_ddd,-2,"C(rel_t, contr.treatment(base=-1))[-2]:treated_X_disp",0.01902285239993307,0.03429098477344196,0.5862925231736149,-0.0533248014543152,0.09137050625418133,21433
noncoffee_drinks,novelty_noncoffee_drinks,high_minus_low_ddd,1,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_disp",-0.0005202669451500731,0.06660754305642333,0.9938587724419514,-0.14104989888678635,0.14000936499648622,21433
noncoffee_drinks,novelty_noncoffee_drinks,high_minus_low_ddd,2,"C(rel_t, contr.treatment(base=-1))[2]:treated_X_disp",-0.09109557704437737,0.05201570764583688,0.09791310224409111,-0.20083912732758052,0.018647973238825777,21433
noncoffee_drinks,novelty_noncoffee_drinks,high_minus_low_ddd,3,"C(rel_t, contr.treatment(base=-1))[3]:treated_X_disp",-0.014800761123838277,0.06954393888024346,0.8339938312628412,-0.16152564671725456,0.13192412446957802,21433
noncoffee_drinks,novelty_noncoffee_drinks,high_minus_low_ddd,4,"C(rel_t, contr.treatment(base=-1))[4]:treated_X_disp",-0.0787523240837828,0.07977831978381973,0.337416778679684,-0.24706986593704272,0.08956521776947712,21433
noncoffee_drinks,novelty_noncoffee_drinks,common_high_minus_low_shift,-4,"C(rel_t, contr.treatment(base=-1))[-4]:disp_binary",-0.004472273115714109,0.020527394917213313,0.8301252413577402,-0.04778129068438442,0.0388367444529562,21433
noncoffee_drinks,novelty_noncoffee_drinks,common_high_minus_low_shift,-3,"C(rel_t, contr.treatment(base=-1))[-3]:disp_binary",-0.025640339829658073,0.0286716160942153,0.38366069594527574,-0.08613216210688605,0.034851482447569915,21433
noncoffee_drinks,novelty_noncoffee_drinks,common_high_minus_low_shift,-2,"C(rel_t, contr.treatment(base=-1))[-2]:disp_binary",-0.04526542163148454,0.01938057104149131,0.03202200064775962,-0.08615485232212554,-0.004375990940843538,21433
noncoffee_drinks,novelty_noncoffee_drinks,common_high_minus_low_shift,1,"C(rel_t, contr.treatment(base=-1))[1]:disp_binary",-0.07932655277035015,0.029318855205727412,0.014997080048129607,-0.14118393020762932,-0.017469175333071005,21433
noncoffee_drinks,novelty_noncoffee_drinks,common_high_minus_low_shift,2,"C(rel_t, contr.treatment(base=-1))[2]:disp_binary",-0.027032539384107948,0.029804905566264868,0.3770930410095559,-0.08991539344366045,0.035850314675444556,21433
noncoffee_drinks,novelty_noncoffee_drinks,common_high_minus_low_shift,3,"C(rel_t, contr.treatment(base=-1))[3]:disp_binary",-0.008427793523109016,0.03083217840917332,0.7878817943132455,-0.07347800382931476,0.05662241678309672,21433
noncoffee_drinks,novelty_noncoffee_drinks,common_high_minus_low_shift,4,"C(rel_t, contr.treatment(base=-1))[4]:disp_binary",0.012031971354455289,0.03374577084175624,0.7258174632390948,-0.05916538165347077,0.08322932436238134,21433
