closure_event_id,treated_dept_id,store_id,treated_store,closure_start,closure_end,rel_t,post,period_start,period_end,n_baskets,n_members,n_products,rarefied_products_50,core_coverage,menu_jaccard_pre,event_store_fe,event_rel_fe,treated_store_X_post
dept_19_closure_2021-07-15,19,230,0,2021-07-15,2021-07-25,1,1,2021-07-26,2021-08-01,850,653,79,26.09,0.8076923076923077,0.696078431372549,dept_19_closure_2021-07-15|230,dept_19_closure_2021-07-15|1,0
dept_19_closure_2021-07-15,19,230,0,2021-07-15,2021-07-25,2,1,2021-08-02,2021-08-08,1205,908,85,28.74,0.7948717948717948,0.6422018348623854,dept_19_closure_2021-07-15|230,dept_19_closure_2021-07-15|2,0
dept_19_closure_2021-07-15,19,230,0,2021-07-15,2021-07-25,3,1,2021-08-09,2021-08-15,1169,927,87,28.59,0.8205128205128205,0.6605504587155964,dept_19_closure_2021-07-15|230,dept_19_closure_2021-07-15|3,0
dept_19_closure_2021-07-15,19,230,0,2021-07-15,2021-07-25,4,1,2021-08-16,2021-08-22,1308,1005,91,28.18,0.8461538461538461,0.6666666666666666,dept_19_closure_2021-07-15|230,dept_19_closure_2021-07-15|4,0
dept_19_closure_2021-07-15,19,36,0,2021-07-15,2021-07-25,-4,0,2021-06-17,2021-06-23,360,240,61,29.56,0.9,0.7011494252873564,dept_19_closure_2021-07-15|36,dept_19_closure_2021-07-15|-4,0
dept_19_closure_2021-07-15,19,36,0,2021-07-15,2021-07-25,-3,0,2021-06-24,2021-06-30,420,276,68,26.87,0.95,0.7816091954022989,dept_19_closure_2021-07-15|36,dept_19_closure_2021-07-15|-3,0
dept_19_closure_2021-07-15,19,36,0,2021-07-15,2021-07-25,-2,0,2021-07-01,2021-07-07,341,227,60,26.79,0.8833333333333333,0.6896551724137931,dept_19_closure_2021-07-15|36,dept_19_closure_2021-07-15|-2,0
dept_19_closure_2021-07-15,19,36,0,2021-07-15,2021-07-25,-1,0,2021-07-08,2021-07-14,384,258,65,24.89,0.8333333333333334,0.7471264367816092,dept_19_closure_2021-07-15|36,dept_19_closure_2021-07-15|-1,0
dept_19_closure_2021-07-15,19,36,0,2021-07-15,2021-07-25,1,1,2021-07-26,2021-08-01,0,0,0,,0.0,0.0,dept_19_closure_2021-07-15|36,dept_19_closure_2021-07-15|1,0
dept_19_closure_2021-07-15,19,36,0,2021-07-15,2021-07-25,2,1,2021-08-02,2021-08-08,178,125,54,29.62,0.55,0.4387755102040816,dept_19_closure_2021-07-15|36,dept_19_closure_2021-07-15|2,0
dept_19_closure_2021-07-15,19,36,0,2021-07-15,2021-07-25,3,1,2021-08-09,2021-08-15,245,170,60,26.42,0.7,0.53125,dept_19_closure_2021-07-15|36,dept_19_closure_2021-07-15|3,0
dept_19_closure_2021-07-15,19,36,0,2021-07-15,2021-07-25,4,1,2021-08-16,2021-08-22,271,189,57,24.55,0.6,0.4845360824742268,dept_19_closure_2021-07-15|36,dept_19_closure_2021-07-15|4,0
dept_19_closure_2021-07-15,19,224,0,2021-07-15,2021-07-25,-4,0,2021-06-17,2021-06-23,1196,922,75,28.1,0.9538461538461539,0.8426966292134831,dept_19_closure_2021-07-15|224,dept_19_closure_2021-07-15|-4,0
