member_id,dept_id,closure_start,closure_end,period,period_start,period_end,is_treated,group,label,displacement_prob,predicted_displaced
682196,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.018907247,0
682231,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.98373646,1
683264,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9327133,1
683284,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.8903771,1
683285,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9561658,1
683286,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9499508,1
684072,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.985715,1
684396,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.8976496,1
692620,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.08428062,0
692884,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.018085523,0
692982,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.04672713,0
693425,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9298299,1
693659,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.038414773,0
694496,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9921204,1
695016,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.061645433,0
696880,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9987987,1
697560,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9677398,1
698120,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.008626836,0
698246,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9831723,1
699886,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.98969704,1
700276,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.90186393,1
700383,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.94567007,1
701697,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.015637673,0
702745,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9558909,1
702818,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.2074638,0
703225,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9556791,1
703226,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.05164952,0
703627,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.03662435,0
704548,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.99738735,1
704870,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.051393077,0
706150,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.044695307,0
706208,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.95853853,1
709071,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.0688941,0
709224,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.0105757965,0
709289,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.078286044,0
709509,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9714254,1
711302,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.00442941,0
711314,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.94197506,1
720946,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.91994464,1
721040,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.036357716,0
721099,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.991888,1
721719,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.019546112,0
721720,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.79528403,1
722084,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.08056818,0
724789,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.99461234,1
725045,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.026341524,0
725229,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.8620728,1
725347,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.081142314,0
725490,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9084635,1
725796,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9382046,1
725932,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.029983897,0
726318,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.037647936,0
727395,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.99886036,1
727784,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.955417,1
728048,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.03359925,0
729106,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.20409052,0
729714,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.04510197,0
729947,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9137973,1
730285,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.99914,1
