member_id,push_group,active_period_num,avg_days_from_push,same_day_wakeup,used_deeper_discount
192350.0,1,2,3.0,0,0
194540.0,1,2,5.0,0,0
194805.0,1,2,2.0,0,0
194865.0,1,2,1.0,0,0
199409.0,1,2,1.0,0,0
201526.0,1,2,6.0,0,0
203304.0,1,2,25.0,0,0
204157.0,1,2,1.0,0,0
205956.0,1,2,3.0,0,0
210805.0,1,2,2.0,0,0
210938.0,1,2,2.0,0,0
211328.0,1,2,6.0,0,0
213147.0,1,2,3.0,0,0
218379.0,1,2,2.0,0,0
218489.0,1,2,8.0,0,0
218821.0,1,2,1.0,0,0
219378.0,1,2,3.0,0,0
226748.0,1,2,2.0,0,0
237795.0,1,2,6.0,0,0
238216.0,1,2,14.0,0,0
241290.0,1,2,6.0,0,0
244772.0,1,2,3.0,0,0
245959.0,1,2,2.0,0,0
250830.0,1,2,1.0,0,0
250942.0,1,2,2.0,0,0
251171.0,1,2,4.0,0,0
259760.0,1,2,1.0,0,0
259804.0,1,2,2.0,0,0
265884.0,1,2,1.0,0,0
267717.0,1,2,8.0,0,0
267961.0,1,2,18.0,0,0
268262.0,1,2,3.0,0,0
269662.0,1,2,3.0,0,0
270094.0,1,2,1.0,0,0
274472.0,1,2,2.0,0,0
280728.0,1,2,81.0,0,0
282594.0,1,2,14.0,0,0
286060.0,1,2,4.0,0,0
290027.0,1,2,1.0,0,0
296876.0,1,2,4.0,0,0
300034.0,1,2,6.0,0,0
302136.0,1,2,72.0,0,0
306206.0,1,2,6.0,0,0
308838.0,1,2,4.0,0,0
309949.0,1,2,8.0,0,0
310288.0,1,2,6.0,0,0
316722.0,1,2,1.0,0,0
320204.0,1,2,2.0,0,0
323560.0,1,2,43.0,0,0
326629.0,1,2,1.0,0,0
327499.0,1,2,6.0,0,0
327865.0,1,2,1.0,0,0
328104.0,1,2,1.0,0,0
333020.0,1,2,1.0,0,0
333774.0,1,2,16.0,0,0
337762.0,1,2,3.0,0,0
339797.0,1,2,1.0,0,0
345489.0,1,2,4.0,0,0
347919.0,1,2,7.0,0,0
348222.0,1,2,5.0,0,0
369279.0,1,2,13.0,0,0
371444.0,1,2,1.0,0,0
373529.0,1,2,2.0,0,0
374901.0,1,2,6.0,0,0
378267.0,1,2,28.0,0,0
382475.0,1,2,1.0,0,0
384430.0,1,2,1.0,0,0
387431.0,1,2,2.0,0,0
388315.0,1,2,34.0,0,0
388678.0,1,2,14.0,0,0
389648.0,1,2,1.0,0,0
392605.0,1,2,11.0,0,0
393022.0,1,2,1.0,0,0
395173.0,1,2,3.0,0,0
395810.0,1,2,3.0,0,0
395916.0,1,2,4.0,0,0
396700.0,1,2,3.0,0,0
400264.0,1,2,1.0,0,0
401470.0,1,2,4.0,0,0
402137.0,1,2,10.0,0,0
402884.0,1,2,3.0,0,0
408616.0,1,2,3.0,0,0
416403.0,1,2,5.0,0,0
427094.0,1,2,2.0,0,0
429734.0,1,2,22.0,0,0
431739.0,1,2,5.0,0,0
439243.0,1,2,2.0,0,0
439808.0,1,2,1.0,0,0
441683.0,1,2,14.0,0,0
442978.0,1,2,32.0,0,0
445190.0,1,2,1.0,0,0
445799.0,1,2,1.0,0,0
446647.0,1,2,38.0,0,0
447820.0,1,2,2.0,0,0
450220.0,1,2,5.0,0,0
456834.0,1,2,4.0,0,0
457496.0,1,2,13.0,0,0
461755.0,1,2,1.0,0,0
463515.0,1,2,2.0,0,0
464388.0,1,2,7.0,0,0
465413.0,1,2,1.0,0,0
466516.0,1,2,3.0,0,0
470002.0,1,2,88.0,0,0
473011.0,1,2,5.0,0,0
473986.0,1,2,2.0,0,0
476193.0,1,2,1.0,0,0
476729.0,1,2,2.0,0,0
478181.0,1,2,58.0,0,0
478578.0,1,2,9.0,0,0
481019.0,1,2,6.0,0,0
486305.0,1,2,52.0,0,0
487827.0,1,2,1.0,0,0
493211.0,1,2,1.0,0,0
494143.0,1,2,3.0,0,0
494487.0,1,2,2.0,0,0
495385.0,1,2,2.0,0,0
496493.0,1,2,4.0,0,0
502736.0,1,2,7.0,0,0
511862.0,1,2,4.0,0,0
520872.0,1,2,20.0,0,0
523824.0,1,2,6.0,0,0
525869.0,1,2,5.0,0,0
528799.0,1,2,2.0,0,0
530326.0,1,2,4.0,0,0
532040.0,1,2,25.0,0,0
532648.0,1,2,1.0,0,0
534010.0,1,2,10.0,0,0
535288.0,1,2,2.0,0,0
536034.0,1,2,3.0,0,0
538227.0,1,2,2.0,0,0
538394.0,1,2,34.0,0,0
545574.0,1,2,5.0,0,0
557287.0,1,2,1.0,0,0
561927.0,1,2,20.0,0,0
564940.0,1,2,8.0,0,0
565652.0,1,2,4.0,0,0
570793.0,1,2,6.0,0,0
577601.0,1,2,5.0,0,0
579376.0,1,2,1.0,0,0
586274.0,1,2,8.0,0,0
586821.0,1,2,4.0,0,0
588107.0,1,2,3.0,0,0
588446.0,1,2,45.0,0,0
595360.0,1,2,2.0,0,0
597291.0,1,2,7.0,0,0
598768.0,1,2,5.0,0,0
601021.0,1,2,2.0,0,0
601269.0,1,2,3.0,0,0
602595.0,1,2,3.0,0,0
603312.0,1,2,2.0,0,0
606106.0,1,2,6.0,0,0
607574.0,1,2,1.0,0,0
608436.0,1,2,5.0,0,0
609412.0,1,2,6.0,0,0
609735.0,1,2,3.0,0,0
611975.0,1,2,7.0,0,0
616321.0,1,2,6.0,0,0
621566.0,1,2,5.0,0,0
623506.0,1,2,2.0,0,0
626155.0,1,2,4.0,0,0
627156.0,1,2,4.0,0,0
627626.0,1,2,7.0,0,0
629904.0,1,2,5.0,0,0
631832.0,1,2,2.0,0,0
634488.0,1,2,2.0,0,0
639211.0,1,2,1.0,0,0
640557.0,1,2,10.0,0,0
643476.0,1,2,6.0,0,0
