dept_id,closure_start,closure_end,closure_duration_days,selection_mode,lowest_purchases,lowest_ratio,min_group_size,min_ctrl_treat_ratio,treated_store_set_up_time,treated_store_address,control_store_ids,control_store_set_up_times,control_store_addresses,n_control_stores,n_treatment,n_control,treatment_purchase_rate_during,control_purchase_rate_during,selectivity_ratio,status,skip_reason
47,2021-07-30,2021-08-10,12,set_up_time_matched,5,0.8,50,2.0,2018-09-25,玄武区大钟亭路6号电信营业厅一层大堂,49|42|48|231|67,2018-09-10|2018-09-10|2018-09-04|2018-08-31|2018-12-07,江宁区菲尼克斯路70号总部基地34号楼一层大堂|栖霞区紫东路1号紫东创意园1幢F4栋一层|雨花台区花神大道17号华博智慧园一层大堂|秦淮区石鼓路42号建华大厦一层大堂|雨花台区软件大道天溯科技园170-1号2栋一层,5,223,3241,0.08520179372197309,0.19870410367170627,0.4287872879703646,kept,
197,2021-08-03,2021-08-19,17,set_up_time_matched,5,0.8,50,2.0,2021-06-23,江宁区双龙大道1539号21世纪太阳城购物中心负一层,12|195|193|194|200,2021-06-29|2021-06-30|2021-06-12|2021-04-25|2021-08-26,秦淮区淮海路50号-1扬子大厦一层大堂|秦淮区中山东路532-2号金蝶软件园E栋一层协办空间|建邺区江东中路98号万达广场苏宁易购负一层WBB25号|溧水区高平大街55号万达广场二层2029铺|雨花台区凤信路6号金证南京科技园3号楼一层大堂,5,9,157,0.1111111111111111,0.3630573248407643,0.3060428849902534,skipped,min_group_size
121,2021-08-03,2021-08-20,18,set_up_time_matched,5,0.8,50,2.0,2019-05-13,江宁区竹山路68号江宁万达百货商场一层,119|120|123|125|116,2019-05-14|2019-05-16|2019-05-25|2019-06-04|2019-04-18,鼓楼区水佑岗路6号万谷京东云智慧产业园一层大堂|鼓楼区中央路302号垠坤创意中央24号楼底商|玄武区花园路8号春风泊寓一层|玄武区红山路88号常发广场1号楼一层|雨花台区花神大道21号德讯科技大厦一层大堂,5,418,1890,0.07894736842105263,0.22592592592592592,0.34943917169974115,kept,
189,2021-08-03,2021-08-12,10,set_up_time_matched,5,0.8,50,2.0,2021-01-15,江宁区宏运大道4597号景祥大厦底商,14|203|202|204|201,2021-08-27|2021-08-28|2021-08-31|2021-09-07|2021-09-13,江北新区浦滨路150号中科创新广场5号楼一楼|高淳区凤山西路60号宝龙城市广场一层M-L1-017-2商铺|江宁区天元东路388号南京义乌小商品城A区9幢一层12号|浦口区浦口大道6号明发财富中心5栋一层104号|江宁区竹山路68号万达广场苏宁易购店一层,5,107,0,0.0,,,skipped,no_control
59,2021-08-03,2021-08-19,17,set_up_time_matched,5,0.8,50,2.0,2018-10-21,江宁区双龙大道1698号南京景枫L1层10号,85|80|83|77|81,2018-12-13|2018-12-14|2018-12-14|2018-12-15|2018-12-18,江宁区科建路29号有志大厦A座一层101室|秦淮区卡子门大街99号复地活力广场一层29号|鼓楼区中山北路281号新城市虹桥中心01栋一层01室|建邺区云龙山路98号天盛大厦A幢一层04号|秦淮区太平南路1号新世纪广场A幢一层大堂,5,423,2908,0.05673758865248227,0.3149931224209078,0.18012326179194155,kept,
182,2021-08-03,2021-08-20,18,set_up_time_matched,5,0.8,50,2.0,2020-10-13,江宁区东山街道潭园西路199号二层A-2F-C04,247|174|166|169|168,2020-01-01|2019-12-31|2019-12-31|2019-12-31|2019-12-31,浦口区珠江镇凤凰大街107室|雨花台区长虹路222号德盈国际广场1幢一层|栖霞区马群街道马群街169号二层E1E2号|六合区雄州街道龙津路44号紫晶国际购物广场一层|栖霞区科创路1号金港一期配套用房一层,5,221,1422,0.06787330316742081,0.2320675105485232,0.2924722336487042,kept,
220,2021-08-03,2021-08-12,10,set_up_time_matched,5,0.8,50,2.0,2018-06-05,江宁区上元大街327号凤凰创客空间大厦一层105室,86|84|82|92|96,2018-12-18|2018-12-21|2018-12-23|2018-12-23|2018-12-25,浦口区江北新区星火路15号智芯科技大厦一层|鼓楼区山西路8号金山大厦A座六层|秦淮区应天大街388号晨光1865创意园e1栋一层|秦淮区石鼓路107号华威大厦一层|秦淮区石杨路116号1幢江苏省住建大厦一层大堂,5,599,1261,0.03171953255425709,0.21332275971451228,0.1486926786279487,kept,
196,2021-08-03,2021-08-20,18,set_up_time_matched,5,0.8,50,2.0,2021-04-30,江宁区润发路9号南方时代广场一层大堂,205|207|206|208|209,2021-09-27|2021-09-30|2021-09-30|2021-09-30|2021-10-31,玄武区珠江路239号底商|栖霞区学海路1号金鹰湖滨天地B区四层|栖霞区和悦街5号好邻里生活中心丁家庄店一层|建邺区奥体大街69号南京新城科技园04栋底商|江宁区胜太路8号同曦假日百货负一层BB152,5,86,0,0.08139534883720931,,,skipped,no_control
46,2021-08-04,2021-08-19,16,set_up_time_matched,5,0.8,50,2.0,2018-09-04,江宁区双龙大道1688号江宁金鹰购物中心负一层AB1-00378室,63|103|102|99|98,2019-02-28|2019-03-03|2019-03-05|2019-03-10|2019-03-16,玄武区玄武大道108号徐庄曼度广场一层|玄武区珠江路488号未来城A座底商|鼓楼区中山北路28号江苏商厦底商|鼓楼区大桥南路1号晶典国际大厦底商|雨花台区宁双路19号云密城K栋一层,5,313,2495,0.04472843450479233,0.30420841683366734,0.14703220565145833,kept,
62,2021-08-04,2021-08-17,14,set_up_time_matched,5,0.8,50,2.0,2018-10-24,江宁区胜太西路62号纳科汽车生活广场B楼一层,104|106|108|110|107,2019-03-18|2019-03-21|2019-03-26|2019-03-30|2019-03-31,秦淮区升州路熙南里街区15A栋一层|鼓楼区华侨路26号底商|鼓楼区广州路188号苏宁环球大厦一层大堂|江宁区正方中路888号浩鲸科技综合楼一层|玄武区后标营路钟山花园城博雅居会所底商,5,231,2485,0.07792207792207792,0.21006036217303822,0.3709508881922675,kept,
3,2021-08-09,2021-08-22,14,set_up_time_matched,5,0.8,50,2.0,2020-06-08,高淳区淳溪街道镇北路27-2号,258|167|248|249|244,2019-12-31|2019-12-30|2019-12-27|2019-12-26|2019-12-25,鼓楼区中山北路6号绿地购物中心B1M层|江宁区淳化街道芝行路161号一层|南京市高淳区淳溪街道镇北路27-2号|江宁区高新园龙眠大道660号新一商业广场5幢114号|溧水区通济街12号,5,734,819,0.013623978201634877,0.17338217338217338,0.07857773343055609,kept,
5,2021-08-18,2021-08-31,14,set_up_time_matched,5,0.8,50,2.0,2020-06-13,浦口区江浦街道龙华路8号金盛田广场二层,173|259|241|1|153,2019-12-24|2019-12-21|2019-12-18|2019-12-15|2019-12-06,江宁区苏源大道19号九龙湖企业园C2栋一层大堂|秦淮区汉中路27号友谊广场BF层05号|鼓楼区凤凰街道新城市广场三层|六合区雄州西路8号欢乐港二期|秦淮区中华路255号华泰证券一层,5,432,2056,0.041666666666666664,0.28793774319066145,0.1447072072072072,kept,
131,2021-08-29,2021-09-08,11,set_up_time_matched,5,0.8,50,2.0,2019-06-21,建邺区河西大街71号明基医院门诊楼一层大堂左侧,128|126|127|112|130,2019-06-20|2019-06-16|2019-06-13|2019-06-07|2019-07-06,迈皋桥街道经五路1号弘阳家居一层2号门A1070号底商|秦淮区永乐路111号万象都荟商业广场底商|江宁区东山街道金源路4号绿地之窗商务广场1幢一层110室|江宁区南京禄口国际机场T2航站楼出发大厅二层12号|栖霞区兴智路6号兴智科技园B座一层大堂,5,408,2350,0.06372549019607843,0.24893617021276596,0.2559912854030501,kept,
165,2021-11-10,2021-11-21,12,set_up_time_matched,5,0.8,50,2.0,2019-12-31,六合区大厂卸甲甸幸福路8号新办公大楼一层大堂,243|242|240|257|256,2019-12-05|2019-11-28|2019-11-24|2019-11-19|2019-11-14,江宁区天元东路388号义乌小商品城A区6栋106室|浦口区江浦街道龙华路8号金盛田广场二层|雨花台区雨花街道雨花东路158号紫荆广场·花漫里负一层111、115号铺|建邺区江东中路329号金奥国际中心负一层145-2室|雨花台区安德门大街52号A栋超级物种内,5,115,157,0.043478260869565216,0.07006369426751592,0.6205533596837944,skipped,low_control_rate
