spec,estimand,term,n,r2_within,coef,se,pvalue,ci_low,ci_high,group
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[3]:treated_X_disp",99644,0.003150946350140682,-0.028403962305562403,0.021244192011845627,0.1988325653836378,-0.07322528955063354,0.016417364939508728,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[4]:treated_X_disp",99644,0.003150946350140682,-0.016191150753800277,0.01564868517304919,0.3153203411075114,-0.04920699050450658,0.01682468899690603,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-4]:disp_binary",99644,0.003150946350140682,0.018243052507896568,0.010267384500300372,0.09349870308417652,-0.0034192352544401075,0.03990534027023324,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-3]:disp_binary",99644,0.003150946350140682,0.010343887435978187,0.011794408490388783,0.39270317484046124,-0.014540139328372,0.03522791420032838,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-2]:disp_binary",99644,0.003150946350140682,0.00811590951367053,0.013631669070746534,0.5594381754596554,-0.020644398243657273,0.03687621727099834,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[1]:disp_binary",99644,0.003150946350140682,0.03087335803870961,0.011353932619960986,0.014579065607347452,0.006918654127447618,0.0548280619499716,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[2]:disp_binary",99644,0.003150946350140682,0.052268535635999244,0.010055424679005009,7.255871427891414e-05,0.031053444006506264,0.07348362726549222,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[3]:disp_binary",99644,0.003150946350140682,0.04347187397195536,0.01614648927704472,0.015419488437410367,0.009405759367929992,0.07753798857598072,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[4]:disp_binary",99644,0.003150946350140682,0.02855875367907209,0.011809843608221812,0.02710788066400216,0.0036421616626720887,0.05347534569547209,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-4]:treated_X_len",99644,0.003150946350140682,0.0024673583584067897,0.012940582805348497,0.8510439499983256,-0.024834884830557676,0.029769601547371256,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-3]:treated_X_len",99644,0.003150946350140682,0.02646959451134783,0.022697326923540206,0.2596348532950663,-0.02141757940710977,0.07435676842980543,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-2]:treated_X_len",99644,0.003150946350140682,0.008670383423475696,0.010251028152586482,0.409408631477177,-0.01295739546165776,0.030298162308609152,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_len",99644,0.003150946350140682,0.005472025092922769,0.013422291572761166,0.6885953669045128,-0.022846534757507767,0.033790584943353304,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[2]:treated_X_len",99644,0.003150946350140682,-0.018058342435951946,0.012674556652460239,0.17232348615018767,-0.04479931950344174,0.008682634631537841,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[3]:treated_X_len",99644,0.003150946350140682,0.027120724247881412,0.021267353857286585,0.21938112696078083,-0.017749470219512415,0.07199091871527524,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[4]:treated_X_len",99644,0.003150946350140682,-0.0329486187457697,0.014076223139674987,0.03169466666693621,-0.06264685360291188,-0.0032503838886275248,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-4]:disp_X_len",99644,0.003150946350140682,0.011766523529986254,0.013496593807125425,0.3954558849635712,-0.01670880033197381,0.04024184739194632,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-3]:disp_X_len",99644,0.003150946350140682,0.03577053138821791,0.011282173226601097,0.00559081447695875,0.011967226562922473,0.05957383621351335,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-2]:disp_X_len",99644,0.003150946350140682,0.03743193212794502,0.010900494938045806,0.003166175706337482,0.01443389810156424,0.06042996615432579,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[1]:disp_X_len",99644,0.003150946350140682,0.02029034287737488,0.013304232550274624,0.14562106954195464,-0.00777913420830979,0.04835981996305955,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[2]:disp_X_len",99644,0.003150946350140682,0.014393188537142885,0.011487048318967841,0.22716961869800834,-0.009842364949537922,0.038628742023823694,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[3]:disp_X_len",99644,0.003150946350140682,0.03169461259136573,0.018038269432661694,0.09689865106448692,-0.006362809254816006,0.06975203443754746,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[4]:disp_X_len",99644,0.003150946350140682,-0.001092022216717391,0.013509769519239066,0.936519532641028,-0.02959514440134386,0.027411099967909077,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-4]:tXdXlen",99644,0.003150946350140682,-0.0037132778369176997,0.016361189373697328,0.8231643528256762,-0.03823237004942304,0.030805814375587635,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-3]:tXdXlen",99644,0.003150946350140682,-0.03741021198583693,0.014103414113983706,0.016751120445649192,-0.06716581478415211,-0.007654609187521758,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-2]:tXdXlen",99644,0.003150946350140682,-0.03294810605962509,0.01270020933451843,0.018901663263453994,-0.05974320555533445,-0.006153006563915726,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[1]:tXdXlen",99644,0.003150946350140682,-0.04670537483489833,0.013683264805013955,0.0033109233815815653,-0.07557454007613328,-0.017836209593663385,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[2]:tXdXlen",99644,0.003150946350140682,0.003230391399292367,0.01652510620965629,0.8473316345732811,-0.031634535107188305,0.03809531790577304,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[3]:tXdXlen",99644,0.003150946350140682,-0.059395365039623095,0.02129051106299324,0.012573409646419398,-0.10431441694035591,-0.014476313138890279,event_study
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[4]:tXdXlen",99644,0.003150946350140682,0.009252794881516724,0.013739953085608023,0.5097310776566246,-0.019735972177196165,0.03824156194022962,event_study
event_score_C,,"C(rel_t, contr.treatment(base=-1))[-4]:treated",99644,0.0013286628242792364,0.009016601894120591,0.014003568821675819,0.5282459792900265,-0.020528345751110094,0.03856154953935128,event_study
event_score_C,,"C(rel_t, contr.treatment(base=-1))[-3]:treated",99644,0.0013286628242792364,0.0014867593353977506,0.01977768358688579,0.940954145436971,-0.04024050558966952,0.043214024260465014,event_study
