spec,estimand,term,coef,se,pvalue,ci_low,ci_high,n,r2_within,rel_t,effect
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[2]:treated_X_disp",-0.030340386618532514,0.01725066089600686,0.09659796760508055,-0.06415168197470596,0.0034709087376409292,99644,0.003150946350140682,2,displacement
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[3]:treated_X_disp",-0.028403962305562403,0.021244192011845627,0.1988325653836378,-0.07004257864877983,0.013234654037655027,99644,0.003150946350140682,3,displacement
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[4]:treated_X_disp",-0.016191150753800277,0.01564868517304919,0.3153203411075114,-0.04686257369297669,0.014480272185376133,99644,0.003150946350140682,4,displacement
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-4]:disp_binary",0.018243052507896568,0.010267384500300372,0.09349870308417652,-0.0018810211126921612,0.03836712612848529,99644,0.003150946350140682,-4,blocked_control_gap
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-3]:disp_binary",0.010343887435978187,0.011794408490388783,0.39270317484046124,-0.012773153205183827,0.0334609280771402,99644,0.003150946350140682,-3,blocked_control_gap
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-2]:disp_binary",0.00811590951367053,0.013631669070746534,0.5594381754596554,-0.018602161864992677,0.034833980892333735,99644,0.003150946350140682,-2,blocked_control_gap
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[1]:disp_binary",0.03087335803870961,0.011353932619960986,0.014579065607347452,0.008619650103586077,0.05312706597383314,99644,0.003150946350140682,1,blocked_control_gap
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[2]:disp_binary",0.052268535635999244,0.010055424679005009,7.255871427891414e-05,0.03255990326514943,0.07197716800684906,99644,0.003150946350140682,2,blocked_control_gap
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[3]:disp_binary",0.04347187397195536,0.01614648927704472,0.015419488437410367,0.011824754988947708,0.07511899295496301,99644,0.003150946350140682,3,blocked_control_gap
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[4]:disp_binary",0.02855875367907209,0.011809843608221812,0.02710788066400216,0.00541146020695734,0.05170604715118684,99644,0.003150946350140682,4,blocked_control_gap
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-4]:treated_X_len",0.0024673583584067897,0.012940582805348497,0.8510439499983256,-0.022896183940076264,0.027830900656889843,99644,0.003150946350140682,-4,length_baseline
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-3]:treated_X_len",0.02646959451134783,0.022697326923540206,0.2596348532950663,-0.018017166258790976,0.07095635528148664,99644,0.003150946350140682,-3,length_baseline
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-2]:treated_X_len",0.008670383423475696,0.010251028152586482,0.409408631477177,-0.011421631755593808,0.0287623986025452,99644,0.003150946350140682,-2,length_baseline
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_len",0.005472025092922769,0.013422291572761166,0.6885953669045128,-0.020835666389689117,0.031779716575534654,99644,0.003150946350140682,1,length_baseline
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[2]:treated_X_len",-0.018058342435951946,0.012674556652460239,0.17232348615018767,-0.04290047347477401,0.006783788602870121,99644,0.003150946350140682,2,length_baseline
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[3]:treated_X_len",0.027120724247881412,0.021267353857286585,0.21938112696078083,-0.01456328931240029,0.06880473780816311,99644,0.003150946350140682,3,length_baseline
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[4]:treated_X_len",-0.0329486187457697,0.014076223139674987,0.03169466666693621,-0.060538016099532674,-0.0053592213920067265,99644,0.003150946350140682,4,length_baseline
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-4]:disp_X_len",0.011766523529986254,0.013496593807125425,0.3954558849635712,-0.014686800331979579,0.03821984739195208,99644,0.003150946350140682,-4,length_lower_order
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-3]:disp_X_len",0.03577053138821791,0.011282173226601097,0.00559081447695875,0.01365747186407976,0.057883590912356064,99644,0.003150946350140682,-3,length_lower_order
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-2]:disp_X_len",0.03743193212794502,0.010900494938045806,0.003166175706337482,0.016066962049375237,0.058796902206514796,99644,0.003150946350140682,-2,length_lower_order
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[1]:disp_X_len",0.02029034287737488,0.013304232550274624,0.14562106954195464,-0.005785952921163382,0.04636663867591315,99644,0.003150946350140682,1,length_lower_order
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[2]:disp_X_len",0.014393188537142885,0.011487048318967841,0.22716961869800834,-0.008121426168034082,0.036907803242319855,99644,0.003150946350140682,2,length_lower_order
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[3]:disp_X_len",0.03169461259136573,0.018038269432661694,0.09689865106448692,-0.0036603954966511892,0.06704962067938265,99644,0.003150946350140682,3,length_lower_order
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[4]:disp_X_len",-0.001092022216717391,0.013509769519239066,0.936519532641028,-0.027571170474425963,0.02538712604099118,99644,0.003150946350140682,4,length_lower_order
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-4]:tXdXlen",-0.0037132778369176997,0.016361189373697328,0.8231643528256762,-0.03578120900936447,0.028354653335529067,99644,0.003150946350140682,-4,length_displacement
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-3]:tXdXlen",-0.03741021198583693,0.014103414113983706,0.016751120445649192,-0.06505290364924499,-0.00976752032242887,99644,0.003150946350140682,-3,length_displacement
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[-2]:tXdXlen",-0.03294810605962509,0.01270020933451843,0.018901663263453994,-0.057840516355281216,-0.008055695763968963,99644,0.003150946350140682,-2,length_displacement
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[1]:tXdXlen",-0.04670537483489833,0.013683264805013955,0.0033109233815815653,-0.07352457385272568,-0.01988617581707098,99644,0.003150946350140682,1,length_displacement
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[2]:tXdXlen",0.003230391399292367,0.01652510620965629,0.8473316345732811,-0.029158816771633966,0.0356195995702187,99644,0.003150946350140682,2,length_displacement
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[3]:tXdXlen",-0.059395365039623095,0.02129051106299324,0.012573409646419398,-0.10112476672308984,-0.017665963356156347,99644,0.003150946350140682,3,length_displacement
event_binary_D,,"C(rel_t, contr.treatment(base=-1))[4]:tXdXlen",0.009252794881516724,0.013739953085608023,0.5097310776566246,-0.017677513166275,0.03618310292930845,99644,0.003150946350140682,4,length_displacement
event_score_C,,"C(rel_t, contr.treatment(base=-1))[-4]:treated",0.009016601894120591,0.014003568821675819,0.5282459792900265,-0.018430392996364016,0.036463596784605194,99644,0.0013286628242792364,-4,att_or_baseline
event_score_C,,"C(rel_t, contr.treatment(base=-1))[-3]:treated",0.0014867593353977506,0.01977768358688579,0.940954145436971,-0.0372775004948984,0.040251019165693895,99644,0.0013286628242792364,-3,att_or_baseline
event_score_C,,"C(rel_t, contr.treatment(base=-1))[-2]:treated",-0.004372509537839714,0.014766681530227524,0.7707354957822883,-0.03331520533708566,0.02457018626140623,99644,0.0013286628242792364,-2,att_or_baseline
