treated,match_cell,blocked_available,non_blocked_available,retained_per_group,common_support,episodes_before,episodes_after,blocked_retained,non_blocked_retained,treated_retained,control_retained
0,"0|(20074.5, 30111.25]|(10037.75, 20074.5]|(10037.75, 20074.5]|(0.999, 10037.75]",0,2,0,0,,,,,,
0,"0|(20074.5, 30111.25]|(30111.25, 40148.0]|(0.999, 10037.75]|(0.999, 10037.75]",0,1,0,0,,,,,,
0,"0|(30111.25, 40148.0]|(10037.75, 20074.5]|(0.999, 10037.75]|(30111.25, 40148.0]",23,7,7,1,,,,,,
0,"0|(30111.25, 40148.0]|(10037.75, 20074.5]|(0.999, 10037.75]|(20074.5, 30111.25]",14,3,3,1,,,,,,
0,"0|(20074.5, 30111.25]|(10037.75, 20074.5]|(0.999, 10037.75]|(20074.5, 30111.25]",9,9,9,1,,,,,,
0,"0|(20074.5, 30111.25]|(10037.75, 20074.5]|(0.999, 10037.75]|(10037.75, 20074.5]",3,14,3,1,,,,,,
0,"0|(20074.5, 30111.25]|(10037.75, 20074.5]|(20074.5, 30111.25]|(0.999, 10037.75]",0,2,0,0,,,,,,
0,"0|(10037.75, 20074.5]|(30111.25, 40148.0]|(0.999, 10037.75]|(0.999, 10037.75]",0,1,0,0,,,,,,
0,"0|(10037.75, 20074.5]|(10037.75, 20074.5]|(20074.5, 30111.25]|(0.999, 10037.75]",0,3,0,0,,,,,,
0,"0|(30111.25, 40148.0]|(10037.75, 20074.5]|(10037.75, 20074.5]|(0.999, 10037.75]",1,0,0,0,,,,,,
0,"0|(30111.25, 40148.0]|(10037.75, 20074.5]|(0.999, 10037.75]|(10037.75, 20074.5]",0,1,0,0,,,,,,
0,"0|(10037.75, 20074.5]|(10037.75, 20074.5]|(20074.5, 30111.25]|(20074.5, 30111.25]",0,83,0,0,,,,,,
0,"0|(10037.75, 20074.5]|(10037.75, 20074.5]|(10037.75, 20074.5]|(20074.5, 30111.25]",2,22,2,1,,,,,,
0,"0|(10037.75, 20074.5]|(30111.25, 40148.0]|(10037.75, 20074.5]|(20074.5, 30111.25]",4,19,4,1,,,,,,
0,"0|(0.999, 10037.75]|(10037.75, 20074.5]|(30111.25, 40148.0]|(10037.75, 20074.5]",0,15,0,0,,,,,,
0,"0|(0.999, 10037.75]|(10037.75, 20074.5]|(20074.5, 30111.25]|(10037.75, 20074.5]",0,3,0,0,,,,,,
0,"0|(10037.75, 20074.5]|(30111.25, 40148.0]|(0.999, 10037.75]|(20074.5, 30111.25]",12,116,12,1,,,,,,
0,"0|(10037.75, 20074.5]|(10037.75, 20074.5]|(30111.25, 40148.0]|(10037.75, 20074.5]",0,74,0,0,,,,,,
0,"0|(10037.75, 20074.5]|(20074.5, 30111.25]|(20074.5, 30111.25]|(20074.5, 30111.25]",97,758,97,1,,,,,,
0,"0|(10037.75, 20074.5]|(20074.5, 30111.25]|(20074.5, 30111.25]|(10037.75, 20074.5]",1,985,1,1,,,,,,
0,"0|(10037.75, 20074.5]|(20074.5, 30111.25]|(30111.25, 40148.0]|(10037.75, 20074.5]",12,2310,12,1,,,,,,
0,"0|(20074.5, 30111.25]|(20074.5, 30111.25]|(20074.5, 30111.25]|(20074.5, 30111.25]",67,480,67,1,,,,,,
0,"0|(30111.25, 40148.0]|(20074.5, 30111.25]|(20074.5, 30111.25]|(20074.5, 30111.25]",9,83,9,1,,,,,,
0,"0|(20074.5, 30111.25]|(20074.5, 30111.25]|(20074.5, 30111.25]|(30111.25, 40148.0]",47,27,27,1,,,,,,
0,"0|(30111.25, 40148.0]|(20074.5, 30111.25]|(20074.5, 30111.25]|(30111.25, 40148.0]",29,12,12,1,,,,,,
0,"0|(10037.75, 20074.5]|(20074.5, 30111.25]|(30111.25, 40148.0]|(20074.5, 30111.25]",1,29,1,1,,,,,,
0,"0|(20074.5, 30111.25]|(20074.5, 30111.25]|(30111.25, 40148.0]|(20074.5, 30111.25]",0,1,0,0,,,,,,
0,"0|(30111.25, 40148.0]|(30111.25, 40148.0]|(10037.75, 20074.5]|(10037.75, 20074.5]",1,0,0,0,,,,,,
1,"1|(20074.5, 30111.25]|(0.999, 10037.75]|(20074.5, 30111.25]|(20074.5, 30111.25]",24,55,24,1,,,,,,
1,"1|(0.999, 10037.75]|(0.999, 10037.75]|(30111.25, 40148.0]|(0.999, 10037.75]",3,728,3,1,,,,,,
1,"1|(30111.25, 40148.0]|(0.999, 10037.75]|(10037.75, 20074.5]|(30111.25, 40148.0]",65,16,16,1,,,,,,
1,"1|(20074.5, 30111.25]|(30111.25, 40148.0]|(10037.75, 20074.5]|(30111.25, 40148.0]",29,24,24,1,,,,,,
1,"1|(20074.5, 30111.25]|(30111.25, 40148.0]|(0.999, 10037.75]|(30111.25, 40148.0]",71,32,32,1,,,,,,
1,"1|(10037.75, 20074.5]|(0.999, 10037.75]|(20074.5, 30111.25]|(10037.75, 20074.5]",26,224,26,1,,,,,,
1,"1|(20074.5, 30111.25]|(0.999, 10037.75]|(10037.75, 20074.5]|(20074.5, 30111.25]",59,62,59,1,,,,,,
1,"1|(30111.25, 40148.0]|(30111.25, 40148.0]|(0.999, 10037.75]|(30111.25, 40148.0]",750,131,131,1,,,,,,
1,"1|(10037.75, 20074.5]|(30111.25, 40148.0]|(10037.75, 20074.5]|(10037.75, 20074.5]",0,9,0,0,,,,,,
1,"1|(20074.5, 30111.25]|(0.999, 10037.75]|(20074.5, 30111.25]|(10037.75, 20074.5]",3,55,3,1,,,,,,
1,"1|(10037.75, 20074.5]|(0.999, 10037.75]|(10037.75, 20074.5]|(10037.75, 20074.5]",16,70,16,1,,,,,,
1,"1|(30111.25, 40148.0]|(30111.25, 40148.0]|(10037.75, 20074.5]|(30111.25, 40148.0]",108,22,22,1,,,,,,
1,"1|(0.999, 10037.75]|(0.999, 10037.75]|(20074.5, 30111.25]|(0.999, 10037.75]",0,114,0,0,,,,,,
1,"1|(20074.5, 30111.25]|(0.999, 10037.75]|(10037.75, 20074.5]|(10037.75, 20074.5]",7,21,7,1,,,,,,
1,"1|(20074.5, 30111.25]|(30111.25, 40148.0]|(0.999, 10037.75]|(20074.5, 30111.25]",61,191,61,1,,,,,,
1,"1|(30111.25, 40148.0]|(0.999, 10037.75]|(10037.75, 20074.5]|(10037.75, 20074.5]",1,1,1,1,,,,,,
